string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
???????? ????????????????,s_fighter05.mon,200,450,300,1107,,200,264,1250,454,1156,859,337,110,,3,2070,,,60,,,,,,220,11,1,,,,,,,,,,,,LNPC0540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPVP06 Queen,queen.mon,0,0,115,,,10,100,100,100,100,100,100,100,,,,,,,,,,,1,200,999,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raknu Prisoner,slave_male01.mon,200,450,120,,,199,48,1494,542,1492,1063,408,110,,443,300,332,43,75,,,,,,120,10,1,0,,,,403,1401,370,,26,,,LNPC1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raknu Prisoner,slave_female01.mon,200,450,150,,,200,48,1503,545,1500,1070,410,110,,444,305,91,43,75,,,,,,90,10,1,0,,,,403,1401,370,,26,,,LNPC1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Cannibal,s_eater01.mon,200,450,100,,,201,48,1557,547,1466,1076,412,110,,445,307,92,43,75,,,,,,120,10,,0,,,,403,1401,370,,26,,,LNPC1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Jailer,s_warder01.mon,200,450,100,1143,,202,48,1565,550,1475,1083,415,110,,446,310,93,43,75,,,,,,100,10,1,0,,,,403,1401,370,,26,,,LNPC1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Guard,s_woman01.mon,200,450,150,1147,,203,48,1575,553,1483,1089,417,110,,447,312,94,43,75,,,,,,180,10,1,0,,,,403,1401,370,,26,,,LNPC1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Warden,s_warder01.mon,200,450,150,1143,,204,48,1584,556,1492,1095,419,110,,567,312,95,43,75,,,,,,180,10,1,0,,,,403,1401,370,,26,,,LNPC1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Predator,s_eater02.mon,200,450,150,1144,,205,48,1592,558,1500,1102,421,110,,612,310,96,43,75,,,,,,180,10,1,0,,,,403,1401,370,,26,,,LNPC1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Cannibal Chef,s_eater03.mon,200,450,150,1145,,205,48,1602,561,1509,1108,423,110,,613,310,97,43,75,,,,,,250,10,1,0,,,,403,1401,370,,26,,,LNPC1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executor Kera,s_kera01.mon,200,450,250,,,230,290,1934,589,1564,1174,446,110,,1266,2000,98,30,80,,,,,,300,11,1,0,,,,403,1401,370,,26,,,LNPC1719,QB_X_EK_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton,tong.mon,200,450,100,,,198,1,1022,454,770,573,337,100,,452,1,,43,75,,,,,1,200,1,1,0,,,,,1401,,,26,,,LNPC1720,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Sikuku Infiltrator,s_woman02.mon,200,450,180,1148,,203,42,1566,575,1522,1141,435,110,1,453,250,99,43,75,,,,,,2800,11,1,0,,,,403,1401,370,,26,,,LNPC1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Enforcer,s_woman02.mon,400,1000,500,19,162,235,330,2620,850,2050,1250,480,170,,493,2300,217,15,75,,,,,,300,11,1,0,,,,403,1401,370,,26,,150060060,LNPC1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Asphyratum,budeater_mutated.mon,400,1000,650,,,240,355,2815,900,2190,1310,520,170,,494,2500,218,10,80,,,,,,300,11,1,0,,,,403,1401,370,,26,,070070120,LNPC1723,,,,,,,,,,,,,,,,75,-60,50,,,,,,1,0,0,30,350,550,550,,,,
Quest Inguz,melendino.mon,220,550,150,1130,,50,160,300,180,250,90,50,125,,350,1,,,,,,,,,200,10,1,0,,,,403,1401,370,,26,,,LNPC1724,JunonOrderDevotionProof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 1,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,351,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1725,RighteousDevotionProof1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 2,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,355,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1726,RighteousDevotionProof2,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 3,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,356,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1727,RighteousDevotionProof3,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 4,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,357,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1728,RighteousDevotionProof4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 5,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,358,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1729,RighteousDevotionProof5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Emil 6,Knight_male01.mon,450,670,190,446,,90,43,330,225,260,120,90,135,,359,0,0,0,100,,,,,,300,10,0,0,,,,,1401,390,,20,,,LNPC1730,RighteousDevotionProof6,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikuku Torturer,s_woman02.mon,400,610,210,1148,162,207,51,2100,850,1220,1100,440,135,,302,350,99,25,70,,,,,,300,11,1,0,,,,403,1401,370,,26,,,LNPC1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outsider Messenger,budeater_mutated.mon,400,600,255,,,211,58,2200,870,1050,1190,460,130,,302,375,99,20,75,,,,,,300,11,1,0,,,,403,1401,370,,26,,,LNPC1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Asphyratum (Unique),budeater_mutated.mon,400,1000,720,,,242,370,2900,950,2300,1400,550,175,,494,2600,219,15,80,,,,,,300,11,1,0,,,,403,1401,370,,26,,100100150,LNPC1733,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,30,350,550,600,,,,
[Clan Storage] Barley,grandduke.mon,300,310,140,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,1,0,,,,,,,,,,,LNPC1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Clan Craftsman] Andre,weapondealer.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,18,,,,,,,,,,,LNPC1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Clan Farmer] Name,akines.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,24,,,,,,,,,,,LNPC1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Clan Magic] Name,magician1.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,3,,,,,,,,,,,LNPC1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Clan Soldier] Maria,warrior2.mon,250,600,115,1097,,10,100,100,100,100,100,100,100,,1535,,,,,,,,,,200,999,,,,,,,,,,,,,LNPC1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin King,Pumpkin-k.mon,320,1000,150,,,28,45,166,120,130,95,44,105,,591,1615,266,15,65,,,,,,400,11,1,0,,,,,1401,,,22,,,LNPC1740,HW10_PK_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Halloween] Jack,Quest_ghost.mon,0,0,120,,,200,9999,100,100,300,300,300,100,,,,72,,,,,,,,200,999,,43,,,,,1401,,,10,,,LNPC1741,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Halloween] Ethan,Quest_ghost.mon,999,0,120,,,200,9999,100,100,300,300,300,100,,408,,72,,,572,,,,,200,999,,43,,,,,1401,,,10,,,LNPC1742,,300,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
[Clan Pirate] Bruise,,0,0,130,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,,,,,,,,,,,,LNPC1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Station Guide] Name,youngman1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,,,,,,1401,,,10,,,LNPC1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Star,LUCKYSTAR.mon,0,0,180,,,1,50,10,10,10,10,10,100,,,,0,0,100,,,,,,,1,,,,,,,,,,,,,LNPC1745,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
[Clan Soldier] Jason,gurd1.mon,0,0,120,1066,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,,,,,,1401,,,10,,,LNPC1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Boat] City of Junon Polis,ban3.mon,0,0,1,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,0,,,,,,,,,,,LNPC1747,,300,,,,,,,,2,,,,,,,,,,,1,,,1,0,0,0,300,100,500,,,,
Lonely Skeleton,tong.mon,200,450,170,,,250,100,1022,454,9999,9999,9999,100,,579,0,0,0,100,,,,,1,200,1,1,0,,,,,1401,,,,,,LNPC1720,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Ghost,oro_ghost.mon,200,450,100,1076,,191,44,1030,431,652,484,319,105,,41,262,,65,,,,,,,270,,1,0,,,,,1401,,,,,,LNPC1751,,320,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,80,80,140,,,,
Mystic Ghost,oro_ghost.mon,200,450,102,1076,,195,44,1050,442,670,498,327,105,,41,270,,66,,,,,,,272,,1,0,,,,,1401,,,,,,LNPC1752,,322,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,81,80,142,,,,
Mystic Ghost,oro_ghost.mon,200,450,104,1076,,199,45,1100,452,689,512,335,105,,41,280,,67,,,,,,,274,,1,0,,,,,1401,,,,,,LNPC1753,,324,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,82,80,144,,,,
Mystic Ghost,oro_ghost.mon,200,450,106,1076,,203,45,1150,465,702,522,342,105,,41,290,,68,,,,,,,276,,1,0,,,,,1401,,,,,,LNPC1754,,326,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,83,80,148,,,,
Mystic Ghost,oro_ghost.mon,200,450,108,1076,,207,45,1190,476,720,530,349,105,,41,300,,69,,,,,,,278,,1,0,,,,,1401,,,,,,LNPC1755,,328,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,84,80,150,,,,
Mystic Ghost,oro_ghost.mon,200,450,110,1076,,211,46,1230,488,739,540,357,105,,41,310,,70,,,,,,,280,,1,0,,,,,1401,,,,,,LNPC1756,,330,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,85,80,152,,,,
Mystic Ghost,oro_ghost.mon,200,450,112,1076,,215,46,1270,500,758,550,365,105,,41,320,,71,,,,,,,282,,1,0,,,,,1401,,,,,,LNPC1757,,332,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,86,80,154,,,,
Mystic Ghost,oro_ghost.mon,200,450,114,1076,,219,46,1320,512,778,560,372,105,,41,330,,72,,,,,,,284,,1,0,,,,,1401,,,,,,LNPC1758,,334,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,87,80,156,,,,
Mystic Ghost,oro_ghost.mon,200,450,116,1076,,223,47,1370,525,798,570,380,105,,41,340,,73,,,,,,,286,,1,0,,,,,1401,,,,,,LNPC1759,,336,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,88,80,158,,,,
Mystic Ghost,oro_ghost.mon,200,450,118,1076,,227,47,1410,537,818,580,388,105,,41,350,,74,,,,,,,288,,1,0,,,,,1401,,,,,,LNPC1760,,338,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,89,80,159,,,,
Mystic Ghost,oro_ghost.mon,200,450,120,1076,,231,47,1450,550,840,590,396,105,,41,360,,75,,,,,,,290,,1,0,,,,,1401,,,,,,LNPC1761,,340,,,,,,,,,,,,,,,,,,,,,,1,0,10,85,90,80,160,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Walker,stony2.mon,180,266,60,31,,25,980,79,77,87,34,35,80,,165,,3,,100,27,,,,,220,,1,41,,,,403,1401,,,,,,LNPC1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Walker,stony1.mon,200,266,65,131,,26,1028,80,78,93,39,35,90,,165,,3,,100,27,,,,,230,,1,41,,,,403,1401,,,,,,LNPC1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Jelly Bean,jellybean2.mon,104,460,65,,,29,940,96,101,88,35,46,90,,165,,3,,100,28,,,,,260,,1,41,,,,403,1401,,,,,,LNPC0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Pumpkin,pumpkin3.mon,200,260,130,,,35,1280,117,96,116,44,45,100,,165,,3,,100,29,,,,,230,,1,41,,,,403,1401,,,,,,LNPC0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiman Warrior,alligator1.mon,220,480,175,105,,72,2981,238,165,257,108,81,90,,167,,3,,100,34,,,,,380,,0,41,,,,402,1401,,,,,,LNPC0143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karkian Beast (M),kzombie_m.mon,200,950,140,,,228,600,900,300,400,300,250,100,,377,,3,,100,50,,,,,120,,1,41,,,,403,1401,,,,,051000000,LNPC3324,,,,,,,,,,,,,,,,,,,,,,,,1,0,-30,10,40,40,40,,,,
Karkian Beast (F),kzombie_f.mon,200,850,160,,,228,600,900,300,400,300,250,100,,377,,3,,100,50,,,,,120,,1,41,,,,403,1401,,,,,051000000,LNPC3325,,,,,,,,,,,,,,,,,,,,,,,,1,0,-10,10,30,10,60,,,,
Golem Watcher,k_golem.mon,500,1000,55,,,228,800,1200,400,500,400,280,100,,377,,3,,100,50,,,,,500,,1,41,,,,403,1401,,,,,,LNPC3385,,,,,,,,,,,,,,,,,,,,,,,,1,0,30,-20,50,50,70,,,,
Toxic Breather,k_breather.mon,450,1000,150,,,228,800,1200,400,500,400,280,180,,377,,3,,100,50,,,,,350,,1,41,,,,403,1401,,,,,,LNPC3388,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,0,70,70,80,,,,
Fazzy,k_fazzy.mon,200,850,80,,,228,800,1200,400,500,400,280,120,,377,,3,,100,50,,,,,200,,1,41,,,,403,1401,,,,,,LNPC3329,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,35,40,40,70,,,,
Diatom,k_silencer.mon,200,550,20,,,228,800,1200,400,500,400,280,70,,377,,3,,100,50,,,,,450,,1,41,,,,403,1401,,,,,,LNPC3362,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,150,50,50,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????,jellybean1.mon,160,370,56,,,2,116,15,20,19,25,0,78,,101,11,501,,20,,,,,,190,1,1,0,,,,401,1401,182,,11,,,LNPC1775,1-31,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
?????,jellybean2.mon,170,390,53,,,3,87,28,29,32,34,0,85,,101,13,502,,20,,,,,,210,1,1,0,,,,402,1401,182,,11,,,LNPC1776,88-3-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
??????,jellybig.mon,175,400,80,,,5,67,43,31,45,41,0,85,,101,17,503,,20,,,,,,220,1,1,0,,,,403,1401,182,,11,,,LNPC1777,92-5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
???a?????,jellygold.mon,220,490,60,,,4,77,40,32,37,31,0,82,,500,14,504,,20,,,,,,200,3,1,0,,,,403,1401,182,,18,,,LNPC1778,91-4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
????????,jellyheat.mon,200,450,150,,,6,61,52,32,51,45,0,85,,101,19,505,,20,,,,,,250,1,1,0,,,,403,1401,182,,11,,,LNPC1779,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall of Fame Board,mg_kanban.mon,0,0,180,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1781,,510,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
[Character Reset] Jess,guide.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,34,72,,,,,,,,200,999,,7,,,,,1401,,,10,,,LNPC1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duel Board,questboard.mon,0,0,90,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,,,,,,,,,10,,,LNPC1783,,330,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
[Son] Kelo,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,73,,,,,,,,200,999,,12,,,,,1401,,,10,,,LNPC1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Plains,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,772,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1785,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Zant,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,773,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1786,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Junon,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1787,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Eucar,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1788,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Xita,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1789,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Quest Board Helio,questboard.mon,0,0,110,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,108,,,,,,,,10,,,LNPC1790,,360,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Beachball,plant001.mon,0,0,70,,,1,10,1,1,1,1,1,1,,,,,,,,,,,,150,999,,,,,,,,,,10,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
[Son] Kelo,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,,,,,,,,,200,999,,36,,,,,1401,,,10,,,LNPC1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Son] Kelo,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,73,,,,,,,1,200,999,,12,,,,,1401,,,10,,,LNPC1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachball,plant001.mon,0,0,70,,,1,10,1,1,1,1,1,1,,,,,,,,,,,,150,999,,,,,,,,,,10,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
[Resident] Clara,cutter.mon,0,0,110,,,10,100,100,100,100,100,100,100,,467,,56,,,551,,,,,200,999,,4,,,,,,,,10,,,LNPC1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Farmer] Casian,akines.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,73,,,,,,,,200,999,,24,,,,,1401,,,10,,,LNPC1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Island Chief] Edmond,archbishop1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,25,70,,,,,,,,200,999,,14,,,,,1401,,,10,,,LNPC1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Ferrell Guild Staff] Curtis,marsiano.mon,0,0,120,,,10,100,100,100,100,100,100,100,,,,71,,,593,485,,,,200,999,,22,,,,,1401,,,10,,,LNPC1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Guide] Aruas Fairy,fairy1.mon,0,0,80,,,10,100,100,100,100,100,100,100,,,,72,,,,,,,,200,999,,10,,,,,1401,,,10,,,LNPC1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Resident] Phoebe,harin.mon,0,0,115,,,10,100,100,100,100,100,100,100,,,,69,,,323,,,,,200,999,,37,,,,,1401,,,10,,,LNPC1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Son] Kelo,child1.mon,120,300,120,,,10,100,100,100,100,100,100,100,,,,73,,,,,,,,200,999,,36,,,,,1401,,,10,,,LNPC1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Resident] Selene,guide.mon,0,0,130,,,10,100,100,100,100,100,100,100,,474,34,72,,,,,,,,200,999,,7,,,,,1401,,,10,,,LNPC1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Teleporter] Kakia,guide.mon,0,0,130,,,10,100,100,100,100,100,100,100,,,34,72,,,,,,,,200,999,,3,,,,,1401,,,10,,,LNPC1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island Ghost,jabba_egg.mon,0,0,1,,,250,9999,1,1,9999,9999,9999,1,,1265,,,,,,,,,1,150,1,1,0,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Shell,Shell.mon,200,260,60,,,10,100,10,10,10,10,10,100,,720,15,,,,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC1805,SE10_Selene_Drop2,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Golden Pearl Shell,Shell.mon,200,260,100,,,10,100,10,10,10,10,10,100,,721,15,,,,,,,,,220,1,1,28,,,,401,1401,182,,11,,255249161,LNPC1806,SE10_Selene_Drop,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Island Ghost,candleghost1.mon,130,440,95,1076,,15,50,25,25,75,75,75,100,1,47,33,,55,10,,,,,,250,,1,41,,,,,1401,,,,,,LNPC1807,SE10_Edmond_Drop,300,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Quest Board,questboard.mon,100,100,100,,,10,100,10,10,10,10,10,100,,,,,,,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island Ghost,jabba_egg.mon,0,0,1,,,250,9999,1,1,9999,9999,9999,1,,1264,,,,,,,,,1,150,1,1,0,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island Ghost,candleghost1.mon,130,440,95,1076,,15,50,25,25,75,75,75,100,1,47,33,,55,10,,,,,,250,,1,41,,,,,1401,,,,,,LNPC1807,SE10_Edmond_Drop3,300,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Not Used,Mummy_male01.mon,220,550,170,,,135,45,620,340,388,350,317,95,,443,110,600,30,60,,,,,,200,1,1,0,,,,402,1401,370,,28,,,LNPC1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Used,Mummy_male02.mon,220,550,170,1041,,137,46,650,340,402,350,317,95,,1459,112,601,30,60,,,,,,500,1,1,0,,,,402,1401,370,,28,,,LNPC1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Used,Mummy_male03.mon,220,550,170,,,137,46,670,340,402,350,317,95,,1456,113,602,30,60,,,,,,200,1,1,0,,,,402,1401,370,,28,,,LNPC1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Used,Mummy_male05.mon,220,550,170,117,,140,57,690,340,410,350,317,95,,1458,115,603,30,60,,,,,,200,1,1,0,,,,402,1401,370,,28,,,LNPC1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Used,Mummy_male06.mon,220,550,170,1136,,140,57,600,370,410,350,317,95,1,443,117,604,30,60,,,,,,350,1,1,0,,,,402,1401,370,,28,,,LNPC1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Mummy,Mummy_Female01.mon,220,550,170,,,190,42,450,484,732,601,322,130,,950,191,605,30,70,,,,,,300,1,1,0,,,,402,1401,370,,28,,,LNPC1816,APs_Khait_Drop,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,65,90,140,,,,
Mummy Soldier,Mummy_Female02.mon,220,550,170,,,191,43,878,491,702,613,367,135,,951,194,606,30,70,,,,,,300,1,1,0,,,,402,1401,370,,28,,,LNPC1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy Ranger,Mummy_Female03.mon,220,550,170,69,,192,40,450,477,728,607,399,150,,951,188,607,30,70,,,,,,750,1,1,0,,,,402,1401,370,,28,,,LNPC1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy Fighter,Mummy_Female04.mon,220,550,170,,,193,40,450,482,747,622,328,145,,599,189,608,30,70,,,,,,300,1,1,0,,,,402,1401,370,,28,,,LNPC1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy Princess,Mummy_Female05.mon,220,550,170,,,194,45,440,499,742,599,377,150,1,609,201,609,0,70,,,,,,300,1,1,0,,,,402,1401,370,,28,,,LNPC1820,QB_H_MS_Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sand Golem,Sandman01.mon,220,500,170,,,225,50,1200,400,950,1400,330,90,,1534,240,610,10,43,,,,,,350,1,1,0,,,,402,1401,370,,28,,,LNPC1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Golem,Sandman02.mon,250,600,210,,,227,69,1350,480,1100,1450,350,110,,1534,270,611,12,48,,,,,,350,1,1,0,,,,402,1401,370,,28,,,LNPC1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
