,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability,Rare Type,Defence,Magic Resistence,Move Speed,Item Set,Dynamic EQ,Trade Key,Expire,Effect,NPC,Space,Prefix,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismal Nephthys Wings,BACK\back_wing_gold_tainted.txt,0,6,163,1000,0,45,10,9934,870,579,,,,,,,,,,,,,,,,,,70,,10,10,,,,,,717,4000,,33,LBAC1998
Organization X Back Hood,BACK\back_warlock_koh.txt,,6,161,1000,0,10,10,3932,248,580,,,,,,,,,,,,,,,,,,70,,50,50,,,,,,,,,,LBAC1999
Moldie Backpack,BACK\back_moldie.txt,,7,160,1000,0,10,16,5746,248,580,,,,,,,,,,,,,15,6,,,,50,,40,35,,,,,,,,,,LBAC2000
Adorable Daredevil Tail,BACK\back_PM_Ad.txt,,7,161,1000,0,5,16,5747,248,580,,,,,,,,,,,,,23,90,,10,8,50,,40,35,,,,,,,,,,LBAC2001
Bright and Bubbly Tail,BACK\back_PM_Bb.txt,,7,161,1000,0,5,16,5748,248,580,,,,,,,,,,,,,23,90,,11,8,50,,40,35,,,,,,,,,,LBAC2002
Violet Shimmer Tail,BACK\back_PM_Vs.txt,,7,161,1000,0,5,16,5749,248,580,,,,,,,,,,,,,23,90,,12,8,50,,40,35,,,,,,,,,,LBAC2003
Uncommon Elegance Tail,BACK\back_PM_Ue.txt,,7,161,1000,0,5,16,5750,248,580,,,,,,,,,,,,,23,90,,13,8,50,,40,35,,,,,,,,,,LBAC2004
Country Cutie Tail,BACK\back_PM_Cc.txt,,7,161,1000,0,5,16,5751,248,580,,,,,,,,,,,,,23,90,,14,8,50,,40,35,,,,,,,,,,LBAC2005
Sweet and Bashful Tail,BACK\back_PM_Sb.txt,,7,161,1000,0,5,16,5752,248,580,,,,,,,,,,,,,23,90,,15,8,50,,40,35,,,,,,,,,,LBAC2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Nepthys Wings,BACK\m_goldserafwing_gunmetal_1110_mu.txt,BACK\back_g_serafwing.txt,6,163,1200,0,20,100,5863,248,579,,,,,,,,,,,,,23,70,,11,4,50,,27,34,,,,,,,,,,LBAC2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kana Companion Bag,BACK\fox_ruck_0131_wa.txt,,7,162,1000,0,10,16,5869,,579,,,,,,,,,,,,,25,800,,,,50,,18,18,,,,,,,,,,LBAC2014
Raccoon Companion Bag,BACK\back_F0853.txt,,7,162,1000,0,10,16,5865,,579,,,,,,,,,,,,,25,800,,,,50,,5,5,,,,,,,,,,LBAC2015
Frog Companion Bag,BACK\back_p_gama.txt,BACK\back_p_gama.txt,7,162,1000,0,10,10,5866,,579,,,,,,,,,,,,,25,800,,,,50,,12,28,,,,,,,,,,LBAC2016
Striped Cat Companion Bag,BACK\neko_pikaback.txt,BACK\neko_pikaback.txt,7,162,1000,0,10,10,5867,,579,,,,,,,,,,,,,25,800,,,,50,,12,8,,,,,,,,,,LBAC2017
Monkey Companion Bag,BACK\orangutan.txt,BACK\orangutan.txt,7,162,1000,0,10,10,5868,,579,,,,,,,,,,,,,25,800,,,,50,,24,13,,,,,,,,,,LBAC2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Beetle Wings,BACK\beetlemanwing_m_blue_0808_cr.txt,,6,163,131200,0,2,10,5870,,579,,,,,,,,31,40,,,,23,30,,,,35,,7,2,,,,,,,,,,LBAC2020
Green Beetle Wings,BACK\beetlemanwing_m_green_0808_cr.txt,,6,163,131200,0,2,10,5871,,579,,,,,,,,31,40,,,,23,30,,,,35,,7,2,,,,,,,,,,LBAC2021
Pink Beetle Wings,BACK\beetlemanwing_m_pink_0808_cr.txt,,6,163,131200,0,2,10,5872,,579,,,,,,,,31,40,,,,23,30,,,,35,,7,2,,,,,,,,,,LBAC2022
Red Beetle Wings,BACK\beetlemanwing_m_red_0808_cr.txt,,6,163,131200,0,2,10,5873,,579,,,,,,,,31,40,,,,23,30,,,,35,,7,2,,,,,,,,,,LBAC2023
Yellow Beetle Wings,BACK\beetlemanwing_m_yellow_0808_cr.txt,,6,163,131200,0,2,10,5874,,579,,,,,,,,31,40,,,,23,30,,,,35,,7,2,,,,,,,,,,LBAC2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fury Wing,BACK\dragon_wing03_0612_wa.txt,BACK\dragon_wing03_0612_wa.txt,6,163,131200,0,2,10,5876,248,579,,,,,,,,31,70,,,,23,50,,,,35,,10,6,,,,,,,,,,LBAC2030
Green Fury Wing,BACK\dragon_wing03_mitsui_0619_wa.txt,BACK\dragon_wing02_mitsui_0619_wa.txt,6,163,131200,0,2,10,5877,248,579,,,,,,,,31,70,,,,23,50,,,,35,,10,6,,,,,,,,,,LBAC2031
Blue Fury Wing,BACK\dragon_wing03_blue_0619_wa.txt,BACK\dragon_wing03_blue_0619_wa.txt,6,163,131200,0,2,10,5878,248,579,,,,,,,,31,70,,,,23,50,,,,35,,10,6,,,,,,,,,,LBAC2032
Black Fury Wing,BACK\dragon_wing03_black_0626_wa.txt,BACK\dragon_wing03_0612_wa.txt,6,163,131200,0,2,10,5879,248,579,,,,,,,,31,70,,,,23,50,,,,35,,10,6,,,,,,,,,,LBAC2033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evil Black Katayoku Half-Wing,BACK\katayoku_right_bla_0518_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5880,248,579,,,,,,,,,,,,,23,85,,18,10,50,,25,42,,,,,,,,,,LBAC2040
Evil Purple Katayoku Half-Wing,BACK\katayoku_right_wp_0526_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5881,248,579,,,,,,,,,,,,,23,85,,19,15,50,,25,42,,,,,,,,,,LBAC2041
Evil Blue Katayoku Half-Wing,BACK\katayoku_right_blable_0608_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5882,248,579,,,,,,,,,,,,,23,85,,20,15,50,,25,42,,,,,,,,,,LBAC2042
Evil Gold Katayoku Half-Wing,BACK\katayoku_right_blabr_0608_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5883,248,579,,,,,,,,,,,,,23,85,,21,10,50,,25,42,,,,,,,,,,LBAC2043
Evil Red Katayoku Half-Wing,BACK\katayoku_right_blar_0608_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5884,248,579,,,,,,,,,,,,,23,85,,22,12,50,,25,42,,,,,,,,,,LBAC2044
Evil Grey Katayoku Half-Wing,BACK\katayoku_right_blaw_0608_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5885,248,579,,,,,,,,,,,,,23,85,,24,12,50,,25,42,,,,,,,,,,LBAC2045
Evil Pink Katayoku Half-Wing,BACK\katayoku_right_blapin_0608_wa.txt,BACK\katayoku_left_bla_0621_wa.txt,7,163,1500,0,10,100,5886,248,579,,,,,,,,,,,,,23,85,,26,10,50,,25,42,,,,,,,,,,LBAC2046
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Katayoku Half-Wing,BACK\katayoku_left_w_0518_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5889,248,579,,,,,,,,,,,,,23,80,,18,10,50,,23,45,,,,,,,,,,LBAC2050
Purple Katayoku Half-Wing,BACK\katayoku_left_wp_0526_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5890,248,579,,,,,,,,,,,,,23,80,,19,15,50,,23,45,,,,,,,,,,LBAC2051
Blue Katayoku Half-Wing,BACK\katayoku_left_wble_0608_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5891,248,579,,,,,,,,,,,,,23,80,,20,15,50,,23,45,,,,,,,,,,LBAC2052
Gold Katayoku Half-Wing,BACK\katayoku_left_wbr_0608_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5892,248,579,,,,,,,,,,,,,23,80,,21,10,50,,23,45,,,,,,,,,,LBAC2053
Red Katayoku Half-Wing,BACK\katayoku_left_wr_0608_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5893,248,579,,,,,,,,,,,,,23,80,,22,12,50,,23,45,,,,,,,,,,LBAC2054
Grey Katayoku Half-Wing,BACK\katayoku_left_bla_0608_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5894,248,579,,,,,,,,,,,,,23,80,,24,12,50,,23,45,,,,,,,,,,LBAC2055
Pink Katayoku Half-Wing,BACK\katayoku_left_wpin_0608_wa.txt,BACK\katayoku_right_w_0621_wa.txt,7,163,1200,0,10,100,5895,248,579,,,,,,,,,,,,,23,80,,26,10,50,,23,45,,,,,,,,,,LBAC2056
Coffin Backshield,BACK\ighost_back01_0918_cr.txt,,6,161,1000,0,15,16,5131,248,579,,,,,,,,,,,,,,,,,,30,,10,1,,,,,,,,,,LBAC2057
Dracula Cape,BACK\ighost_back01_0918_cr.txt,,6,160,1000,0,2,16,4886,248,579,,,,,,,,,,,,,,,,,,30,,1,1,,,,,,,3716,,,LBAC2058
Bat Cape,BACK\ighost_back01_0918_cr.txt,,6,160,1000,0,2,16,4885,248,579,,,,,,,,,,,,,,,,,,30,,1,1,,,,,,,3717,,,LBAC2059
Mini Ghost Spirit,BACK\ighost_back01_0918_cr.txt,,6,161,1000,0,0,16,6682,248,579,,,,,,,,,,,,,,,,,,30,,3,3,,,,,,,,,,LBAC2060
Mini Ghost Spirit Duo,BACK\ighost_back02_0918_cr.txt,,6,161,1000,0,0,16,6682,248,579,,,,,,,,,,,,,,,,,,30,,3,3,,,,,,,,,,LBAC2061
Mini Ghost Spirit Trio,BACK\ighost_back03_0918_cr.txt,,6,161,1000,0,0,16,6682,248,579,,,,,,,,,,,,,,,,,,30,,3,3,,,,,,,,,,LBAC2062
STRAW_DOLL,BACK\ighost_back01_0918_cr.txt,,6,161,1000,0,5,16,2558,248,579,,,,,,,,,,,,,,,,,,30,,3,3,,,,,,,,,,LBAC2063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6678,248,579,,,,,,,,,,,,,23,50,,12,8,30,,25,22,,,,,,,,,,LBAC2065
Orange Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6679,248,579,,,,,,,,,,,,,23,50,,11,8,30,,25,22,,,,,,,,,,LBAC2066
Light Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6683,248,579,,,,,,,,,,,,,23,65,,,,30,,25,22,,,,,,,,,,LBAC2067
Pink Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6680,248,579,,,,,,,,,,,,,23,50,,14,8,30,,25,22,,,,,,,,,,LBAC2068
Blue Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6684,248,579,,,,,,,,,,,,,23,50,,13,8,30,,25,22,,,,,,,,,,LBAC2069
Dark Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6695,248,579,,,,,,,,,,,,,38,350,,39,500,30,,25,22,,,,,,,,,,LBAC2070
Red Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6696,248,579,,,,,,,,,,,,,23,50,,10,8,30,,25,22,,,,,,,,,,LBAC2071
Green Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6697,248,579,,,,,,,,,,,,,23,50,,15,8,30,,25,22,,,,,,,,,,LBAC2072
Forest Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6713,248,579,,,,,,,,,,,,,23,65,,,,30,,25,22,,,,,,,,,,LBAC2073
Sunset Butterfly Wings,BACK\back_wing01_r.txt,,7,163,1000,0,5,30,6714,248,579,,,,,,,,,,,,,23,65,,,,30,,25,22,,,,,,,,,,LBAC2074
Cooking Pan,,,7,160,1000,0,10,16,8567,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2075
Pizza Backshield,,,7,161,1000,0,10,16,8568,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2076
Blue Sidme Mantle,,,7,160,1000,0,1,16,8902,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2077
Green Sidme Mantle,,,7,160,1000,0,1,16,8903,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2078
Shoulder Kitsune,,,6,160,0,0,2,10,8889,248,579,,,,,,,,,,,,,,,,,,75,,1,1,,,,,,,,,,LBAC2079
Yellow Sidme Mantle,,,7,160,1000,0,1,16,9094,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2080
Butterfly Dreamer Wing,,,7,163,1000,0,5,16,9110,248,579,,,,,,,,,,,,,23,60,,,,35,,10,10,,,,,,,,,,LBAC2081
Red Dragon Doll,,,7,160,1000,0,5,16,9700,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2082
Blue Dragon Doll,,,7,160,1000,0,5,16,9699,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2083
Purple Dragonic Wing,,,7,163,1000,0,10,16,9690,248,579,,,,,,,,,,,,,23,60,,,,35,,10,10,,,,,,,,,,LBAC2084
Red Dragonic Wing,,,7,163,1000,0,10,16,9691,248,579,,,,,,,,,,,,,23,60,,,,35,,10,10,,,,,,,,,,LBAC2085
White Sidme Mantle,,,7,160,1000,0,1,16,9774,248,579,,,,,,,,,,,,,,,,,,35,,10,10,,,,,,,,,,LBAC2086
Yellow Dragonic Wing,,,7,163,1000,0,10,16,10059,248,579,,,,,,,,,,,,,23,60,,,,35,,10,10,,,,,,,,,,LBAC2087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
