,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability Type,Break IDX,,,Arms Type,Hide Player,Scaling,Preview,Expire,Prefix,Show Back,
Red Snowmobile,,0,7,513,1000,0,15,30,9308,246,580,,,,,144,30,,70,1,,,,,,,,,30,1,,,1200,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,3,,,,,1509,,,,LPAT586
Green Snowmobile,,0,6,513,1000,0,15,30,9327,246,580,,,,,144,30,,70,1,,,,,,,,,30,1,,,1200,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,3,,,,,1510,,,,LPAT587
Music Bird,,0,6,513,1000,0,15,30,7779,246,580,,,,,145,30,,70,1,,,,,,,,,30,1,,,900,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,1940,,,,,,1000,,,1,,3,,,,,,,,,LPAT588
Inflatable Clownfish,3ddata\PAT\CART\BODY\iruka_boat_0728_cr.txt,0,7,513,1000,0,10,30,7978,246,580,,,,,129,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,290,558,,,,,,,,,,,,,,,,,,,,1944,,,,,,1000,,,,,3,,,,,2381,,,1,LPAT589
Inflatable Duck,3ddata\PAT\CART\BODY\iruka_boat_0728_cr.txt,0,7,513,1000,0,10,30,7977,246,580,,,,,150,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,290,558,,,,,,,,,,,,,,,,,,,,1944,,,,,,1000,,,,,3,,,,,2382,,,,LPAT590
Lucky Ghost Coffin,3Ddata\PAT\CART\BODY\ghostcart_obake_body_1027_cr.txt,0,7,513,1000,0,10,30,8074,246,580,,,,,132,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,281,481,,,,,,,,,,,,,,,,,,,,1949,,,,,,1000,,,,,3,,,,,1411,,,,LPAT591
Christmas Scooter,3Ddata\PAT\CART\BODY\snakecart_body_1211_cr.txt,0,6,511,1000,0,10,47,8390,246,580,,,,,22,47,,,,,,,23,100,,21,20,40,,,,,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,2186,,,,LPAT592
Christmas Scooter Engine,3Ddata\PAT\CART\ENGINE\invisiblescart02_0112_cr.txt,1,6,521,620,0,5,42,6223,246,580,,,,,22,36,,,,,,,,,,,,40,,600,3,126,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,,,,LPAT593
Christmas Scooter Wheels,3Ddata\PAT\CART\WHEEL\snakecart_wheel_1211_cr.txt,2,6,531,550,0,5,38,7234,246,580,,,,,22,36,,,,,,,,,,,,32,,,,137,30,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,,,,LPAT594
Red Hover Scooter,3Ddata\PAT\CART\BODY\snakecart_body_1211_cr.txt,0,6,513,1000,0,10,30,8391,246,580,,,,,146,30,,70,1,,,,,,,,,30,1,,,1000,,,,,,,281,469,,,,,,,,,,,,,,,,,,,,1933,,,,,,1000,,,1,,3,,,,,,,,,LPAT595
Inflatable Crocodile,,0,7,513,1000,0,10,30,3995,246,580,,,,,158,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,290,558,,,,,,,,,,,,,,,,,,,,1944,,,,,,1000,,,,,3,,,,,2383,,,1,LPAT596
Inflatable Flamingo,,0,7,513,1000,0,10,30,3994,246,580,,,,,135,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,290,558,,,,,,,,,,,,,,,,,,,,1944,,,,,,1000,,,,,3,,,,,2384,,,,LPAT597
Surfboard,,0,7,513,1000,0,10,30,9145,246,580,,,,,160,30,,70,1,,,,,,,,,30,1,,,800,,,,,,,290,558,,,,,,,,,,,,,,,,,,,,1954,,,,,,1000,,,,,3,,,,,2378,,,1,LPAT598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bike Test Frame,,0,6,511,1000,0,10,47,8390,246,580,,,,,155,47,,,,,,,,,,,,40,,,,,,,,,,,500,502,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,LPAT600
Bike Test Engine,,1,6,521,620,0,5,42,6223,246,580,,,,,155,36,,,,,,,,,,,,40,,600,3,126,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LPAT601
Bike Test Wheels,,2,6,531,550,0,5,38,7234,246,580,,,,,155,36,,,,,,,,,,,,32,,,,137,30,,,,,,500,502,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LPAT602
Reindeer Scooter,,0,6,511,1000,0,10,47,9326,246,580,,,,,22,47,,,,,,,23,100,,21,20,40,,,,,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,2186,,,,LPAT603
Reindeer Scooter Engine,,1,6,521,620,0,5,42,9330,246,580,,,,,22,36,,,,,,,,,,,,40,,600,3,126,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,,,,LPAT604
Reindeer Scooter Wheels,,2,6,531,550,0,5,38,9328,246,580,,,,,22,36,,,,,,,,,,,,32,,,,137,30,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,,,,LPAT605
Blue Cinderella Carriage,,0,7,513,1000,0,10,30,9472,246,580,,,,,161,30,,70,1,,,,,,,,,30,1,,,1000,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,313,,,,,,1000,,,,,3,,,,,,,,,LPAT606
Pink Cinderella Carriage,,0,7,513,1000,0,10,30,9473,246,580,,,,,161,30,,70,1,,,,,,,,,30,1,,,1000,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,313,,,,,,1000,,,,,3,,,,,,,,,LPAT607
Valentines Carriage,,0,7,513,1000,0,20,30,7557,246,580,,,,,164,30,,70,1,,,,,,,,,30,1,,,1000,,,,,,,281,261,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,1,,3,,,,,,,,,LPAT608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiderman Frame,3Ddata\PAT\CART\BODY\cart01_BODY190.txt,0,0,511,1,0,20,76,3595,246,580,,,,,21,30,,,,,,,19,55,,21,75,50,1,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,LPAT617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiderman Wheels,3Ddata\PAT\CART\WHEEL\cart01_WHEEL190.txt,2,0,531,1,0,10,30,3622,246,580,,,,,21,30,,,,,,,19,10,,21,12,50,,,,131,20,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,1,,,,,2186,,,,LPAT642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molten Reinforced Stock Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY061.txt,0,0,512,534900,0,50,37,3632,246,580,,,,,31,35,,,,31,80,,19,325,,21,65,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT655
Cyborg Core,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY071.txt,0,,512,628400,0,50,50,3633,246,580,,,,,31,40,,,,31,90,,19,370,,21,75,52,,,30, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,5000,,,,,2,,,,,2188,,,,LPAT656
thRose,3Ddata\PAT\CastleGear\CastleGear02\BODY\CastleGear02_BODY081.txt,0,0,512,1,0,50,,3634,246,580,,,,,31,35,,,,31,100,,19,1,,21,1,50,,,20, ,,,,,,,311,261,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT657
Molten Runihol Leg,3Ddata\PAT\CastleGear\CastleGear02\LEG\CastleGear02_leg061.txt,2,,532,246700,0,30,34,3635,246,580,,,,,31,34,,,,,,,19,100,,21,40,44,,,,30,,,,,,,,,,,,,,,,1251,701,,,,,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT658
Hydraulic Leg,3Ddata\PAT\CastleGear\CastleGear02\LEG\CastleGear02_leg071.txt,2,,532,312900,0,30,50,3636,246,580,,,,,31,30,,,,,,,19,110,,21,45,41,,,,30,,,,,,,,,,,,,,,,1251,701,,,,,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT659
thRose,3Ddata\PAT\CastleGear\CastleGear02\LEG\CastleGear02_leg081.txt,2,0,532,1,0,30,,3637,246,580,,,,,31,35,,,,,,,19,1,,21,1,50,,,,30,,,,,,,,,,,,,,,,1251,701,,,,,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT660
Molten Punch Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_arm061.txt,4,0,552,423500,0,40,40,3638,246,580,,,,,31,30,,,,,,,18,60,,26,25,52,,,3, ,,350,350,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT661
Grappling Arms,3Ddata\PAT\CastleGear\CastleGear02\ARMS\CastleGear02_arm071.txt,4,0,552,499200,0,40,50,3640,246,580,,,,,31,35,,,,,,,18,180,,26,50,73,,,3, ,,350,350,10,,,1,261,,,,,,,,,,131,704,520,125,,,,,,,,,,,,,,,,,,2,,,,,2188,,,,LPAT662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sport Car Wheels,3Ddata\PAT\CART\WHEEL\cart01_WHEEL270.txt,2,0,531,10000,0,10,30,4624,246,580,,,,,21,30,,,,,,,,,,,,127,,,,184,40,,,,,,281,261,,,,,,,,302,671,,,,,,,,,,,,,,,,,,,,,,1,,,,,2186,,,,PAT679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Hammers,3Ddata\PAT\CART\WEAPON\cart01_weapon01.txt,4,,551,88290,0,55,55,2253,246,580,,,,,21,28,,,,31,70,,,,,,,49,,,, ,,200,103,7,,,0,261,,,,,,,,,,,50,110,50,,,,,,,,,,,,,,41,,,,1,,101,,,2186,,,,LPAT700
Doom Hammers,3Ddata\PAT\CART\WEAPON\cart01_weapon02.txt,4,,551,149580,0,55,60,2259,246,580,,,,,21,28,,,,31,90,,,,,,,52,,,, ,,200,145,7,,,1,261,,,,,,,,,,,50,110,50,,,,,,,,,,,,,,41,,,,1,,101,,,2186,,,,LPAT701
Battle Bow,3Ddata\PAT\CART\WEAPON\cart01_weapon03.txt,4,,551,54990,0,15,58,2257,246,580,,,,,21,28,,,,31,70,,,,,,,49,,,, ,,1500,103,7,,,2,261,,,,,,,,,,,78,110,78,151,,,,,,,,,,,8,,43,,,,1,,102,,,2186,,,,LPAT702
Tarkion Bow,3Ddata\PAT\CART\WEAPON\cart01_weapon04.txt,4,,551,102510,0,20,67,2260,246,580,,,,,21,28,,,,31,90,,,,,,,52,,,, ,,1600,139,7,,,3,261,,,,,,,,,,,78,110,78,151,,,,,,,,,,,8,,43,,,,1,,102,,,2186,,,,LPAT703
Battle Katar,3Ddata\PAT\CART\WEAPON\cart01_weapon05.txt,4,,551,49140,0,30,50,2255,246,580,,,,,21,28,,,,31,70,,,,,,,48,,,, ,,250,85,7,,,4,261,,,,,,,,,,,39,110,39,,,,,,,,,,,,,,43,,,,1,,107,,,2186,,,,LPAT704
Battle Spikes,3Ddata\PAT\CART\WEAPON\cart01_weapon06.txt,4,,551,96750,0,30,58,2256,246,580,,,,,21,28,,,,31,90,,,,,,,52,,,, ,,250,127,7,,,5,261,,,,,,,,,,,39,110,39,,,,,,,,,,,,,,43,,,,1,,108,,,2186,,,,LPAT705
Battle Mirror,3Ddata\PAT\CART\WEAPON\cart01_weapon07.txt,4,,551,79020,0,5,52,2258,246,580,,,,,21,28,,,,31,70,,,,,,,49,,,, ,,1600,79,7,,,6,261,,,,,,,,,,,90,110,90,261,,,,,,,,,,,9,,42,,,,1,,105,,,2186,,,,LPAT706
Battle Crystal,3Ddata\PAT\CART\WEAPON\cart01_weapon08.txt,4,,551,152010,0,10,60,2254,246,580,,,,,21,28,,,,31,90,,,,,,,53,,,, ,,1600,108,7,,,7,261,,,,,,,,,,,84,110,84,261,,,,,,,,,,,9,,42,,,,1,,106,,,2186,,,,LPAT707
Battle Machine Gun,3Ddata\PAT\CART\ABILITY\cart01_ability05.txt,4,,551,70200,0,25,60,2249,246,580,,,,,21,28,,,,31,70,,,,,,,49,,,, ,,1370,104,7,,,9,261,,,,,,,,,,,82,,82,286,,,,,,,,,,,7,,44,,,,1,,103,,,2186,,,,LPAT708
Battle Launcher,3Ddata\PAT\CART\ABILITY\cart01_ability06.txt,4,,551,133020,0,30,69,2250,246,580,,,,,21,28,,,,31,90,,,,,,,52,,,, ,,1400,140,7,,,8,261,,,,,,,,,,,81,,81,191,,,,,,,,,,,7,,44,,,,1,,104,,,2186,,,,LPAT709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Frame,3Ddata\PAT\CART\BODY\doragon_cart_1219_wa.txt,0,7,511,1000,0,20,30,8159,246,580,,,,,21,62,,,,,,,,,,,,100,,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2187,,,,PAT715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rollercoaster Cart,3Ddata\PAT\CART\BODY\cart01_BODY220.txt,0,0,511,10000,0,20,30,3887,246,580,,,,,21,30,,,,,,,,,,,,20,,,, ,,,,,,,281,261,,,,,,,670,,,,,,,,,,,,,,,,,,,3000,,,,,1,,,,,2186,,,,PAT718
