,,(0-10),(1-99),(0-2),(0-..),(1-200),(0-9),(0-20),(0-999),"(0,1)",,,(1~100%),(0-200),0:???????? 1: ???????? 2:???????? 3:????????,(????????),(0-999),(????????),(0-999),(0-63),Ability,Ability Amount,(-100~150),"-??????,",(-100-500),(-100~150),,,0:???????? 1:???????? 2:???????? 3:????????,(????????????),[  OR???? ],-?????? ????????,???? ????????-,,(????????),[OR????],-??????????,????????-,(1????????????),(0-9),- ?????? ??????,???? ???????? -,(1????????????),(0-9),(??????????),(1-250),- ?????? ??????,???? ?????????? -,(????????????),,(1-999),(????????????),100=????,,(1~ ),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(??????????????),(????????????????),(??????????),(????????),100=????,(???????? ??????),(????????????????),(????????????????),(??????????),74,75,76,77,78,79,80,81,82,83,84,Zulie (85),Learn Bypass,Skill Tree,Buff Summon,Clan Skill Timer,(??????????)
Vampire's Desire,3393,1,40,0,17,2000,10,2000,1500,,,,,,2,76,5000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,115,100,135,,,,,1764,999,,2101,999,1123,1317,999,,172,100,1,,,,2102,999,1574,,,,,,,,,,,,,,
Toxic Charm,3394,1,40,0,17,4000,10,4000,700,,9,,60,15,2,76,5000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,115,100,135,,,,,1764,999,,1674,999,1123,1317,999,,172,100,1,,,,1669,999,1574,,,,,,,,,,,,,,
Plasma Charm,3395,1,40,0,17,3000,10,3000,500,,19,,60,60,2,76,5000,,,20,18,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,115,100,135,,,,,1764,999,,1675,999,1123,1317,999,,172,100,1,,,,1669,999,1574,,,,,,,,,,,,,,
Blazing Charm,3396,1,40,0,17,3000,10,3000,1200,,58,21,60,60,2,76,5000,,,20,,,,19,,60,,,,,,,,,,,,,,,,,,,,,,,,,201,115,100,135,,,,,1764,999,,1672,999,1123,1317,999,,172,100,1,,,,1669,999,1574,,,,,,,,,,,,,,
Cursed Moldie Priest Mute,3397,,,,17,0,5,3000,5000,1,30,29,70,20,4,,,,,,,,,22,,20,,,2,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,1611,999,131,,,,7,100,,,,,,,,,,,,,,,,,,,,,
Sky Land of Krayah Return Scroll,3398,1,1,1,18,5,,,,,,,,,,17,,,,,130,501,540,4,,,,,,,,,,,,,,,,,,,,,,,,,,,97,103,100,,,161,3,,210,3,,410,1,,,,,322,100,1,,,,244,3,,,,,,,,,,,,,,,
Obliteration Field Return Scroll,3399,1,1,1,18,5,,,,,,,,,,17,,,,,134,476,522,4,,,,,,,,,,,,,,,,,,,,,,,,,,,97,103,100,,,161,3,,210,3,,410,1,,,,,322,100,1,,,,244,3,,,,,,,,,,,,,,,
Forsaken Lake Return Scroll,3400,1,1,1,18,5,,,,,,,,,,17,,,,,132,549,543,3,,,,,,,,,,,,,,,,,,,,,,,,,,,97,103,100,,,161,3,,210,3,,410,1,,,,,322,100,1,,,,244,3,,,,,,,,,,,,,,,
?????? ????,3401,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3401
?????? ????,3402,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3402
?????? ????,3403,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3403
?????? ????,3404,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3404
?????? ????,3405,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????,3411,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3411
????????,3412,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????,3416,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3416
????????,3417,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????? ,3421,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3421
?????? ,3422,1,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSkill3422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Stronghold,3431,0,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,LSkill3432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Beach Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipo 1,3436,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,42,1,,,,,,,,,,,,,42,100,,,,,,,,,,,,,,,,,,,,,
Pipo 2,3437,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,43,1,,,,,,,,,,,,,43,100,,,,,,,,,,,,,,,,,,,,,
Pipo 3,3438,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,44,1,,,,,,,,,,,,,44,100,,,,,,,,,,,,,,,,,,,,,
Pipo 4,3439,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,45,1,,,,,,,,,,,,,45,100,,,,,,,,,,,,,,,,,,,,,
Pipo 5,3440,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,46,1,,,,,,,,,,,,,46,100,,,,,,,,,,,,,,,,,,,,,
Pipo 6,3441,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,47,1,,,,,,,,,,,,,47,100,,,,,,,,,,,,,,,,,,,,,
Pipo 7,3442,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,48,1,,,,,,,,,,,,,48,100,,,,,,,,,,,,,,,,,,,,,
Sexy,3443,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,49,1,,,,,,,,,,,,,49,100,,,,,,,,,,,,,,,,,,,,,
SideStep,3444,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,50,1,,,,,,,,,,,,,50,100,,,,,,,,,,,,,,,,,,,,,
701,3445,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,65,1,,,,,,,,,,,,,65,100,,,,,,,,,,,,,,,,,,,,,
702,3446,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,66,1,,,,,,,,,,,,,66,100,,,,,,,,,,,,,,,,,,,,,
703,3447,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,67,1,,,,,,,,,,,,,67,100,,,,,,,,,,,,,,,,,,,,,
Zombie,3448,1,0,0,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,31,100,68,,,,,,,,,,,,,,68,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,100,,,,,,,,,,,,,,,,,,,,,
Dance command dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[M] Attack Up (AoE),3475,1,0,0,8,,3,3000,,,18,24,200,4000,,,,,,14,18,100,,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,68,112,100,132,,1752,1,1001,1761,1,,1769,0,142,1,,,151,100,,221,3,90,1501,999,141,,,,,,,,,,,,,,LSkill3475
[M] Defense Up (AoE),3476,1,0,0,8,,3,3000,,,20,22,200,4000,,,,,,14,19,100,,21,100,,,,,,,,,,,,,,,,,,,,,,,,,,68,112,100,132,,1752,1,1001,1761,1,,1769,0,142,1,,,151,100,,221,3,90,1501,999,141,,,,,,,,,,,,,,LSkill3476
[M] Battle Up (AoE),3477,1,0,0,8,,3,3000,,,16,26,200,4000,,,,,,14,24,100,,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,68,112,100,132,,1752,1,1001,1761,1,,1769,0,142,1,,,151,100,,221,3,90,1501,999,141,,,,,,,,,,,,,,LSkill3477
[M] Agility Up (AoE),3478,1,0,0,8,,3,3000,,,14,28,200,4000,,,,,,14,23,100,,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,68,112,100,132,,1752,1,1001,1761,1,,1769,0,142,1,,,151,100,,221,3,90,1501,999,141,,,,,,,,,,,,,,LSkill3478
[M] Reflect Damage,3479,1,0,0,9,3000,3,,100000,,35,,,300,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,112,100,132,,1752,1,,1761,1,,1769,0,142,1,,,151,100,,221,3,90,1501,999,141,,,,,,,,,,,,,,LSkill3479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be Mine,3481,1,,,11,1800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,20,,,,,,,,1230,999,,,,,33,100,1,,,,,,,,,,,,,,,,,,,,
I LOVE YOU,3482,1,,,11,1800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,20,,,,,,,,1231,999,,,,,33,100,1,,,,,,,,,,,,,,,,,,,,
YOURE THE BEST,3483,1,,,11,1800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,20,,,,,,,,1232,999,,,,,33,100,1,,,,,,,,,,,,,,,,,,,,
IM ALL YOURS,3484,1,,,11,1800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,20,,,,,,,,1233,999,,,,,33,100,1,,,,,,,,,,,,,,,,,,,,
YOURE MINE,3485,1,,,11,1800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,200,20,,,,,,,,1234,999,,,,,33,100,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon Rune Stun,3487,,,,17,,5,250,,,123,,160,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,,,,,,,7,100,,,,,,,,,,,,,,,,,,,,,
Book MDef Dodge Buff,3488,,,,13,5000,3770,,,,22,28,200,3599,,,,,,,21,9999,,22,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,8,100,,,,,,,,,1454,0,,,0,,9,100,,,,,2001,999,,,,,,,,,,,,,,,
Book Remove Buff,3489,,,,13,5000,3770,,,,39,,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,100,,,,,,,,,1367,0,,,0,,9,100,,,,,2001,999,67,,,,,,,,,,,,,,
Book Defense Buff,3490,,,,13,5000,3770,,,,20,,200,3599,,,,,,,19,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,100,,,,,,,,,1454,0,,,0,,9,100,,,,,2001,999,,,,,,,,,,,,,,,
Laguz Protect Buff,3491,,,,8,,0,,,,57,,200,600,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,100,,,,,,,,,213,999,,,,,9,100,,,,,5,3,,,,,,,,,,,,,,,
Electric Cloud AOE,3492,,,,17,,5,1000,500,,21,25,500,30,2,,,,,,19,20,40,20,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,,,,,,,7,100,,,,,,,,,,,,,,,,,,,,,
Moon Rune Confusion,3493,,,,17,,5,300,400,,126,,500,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,,,,,,,7,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldie Pharoah Target,3497,,,,6,0,5,0,4000,1,25,17,75,10,4,,,,,,20,15,,24,,15,,,1,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,1381,999,131,,,,7,100,1,162,0,,1035,999,,,,,,,,,,,,,,,
Moldie Pharoah AOE,3498,,,,17,0,5,1400,5000,1,30,29,70,20,4,,,,,,,,,22,,20,,,2,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,,,,,1609,999,131,,,,7,100,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necromancer Target,3500,,,,3,0,5,0,300,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,32,8,100,131,,1031,999,131,,,,,,,,,,9,125,3,,,,370,999,67,373,999,67,371,999,67,,,,,,,,
??????????,3501,1,0,1,17,,5,1200,60,1,,,,,1,77,100,,,80,,,,,,,,,2,512,,,,,,,,,,,,,,,,,,,,,40,311,100,311,,,,,1764,999,,1609,999,130,,,,313,100,1,,,,1121,999,139,,,,,,,,,,,,,,LSkill3501
??????????,3502,1,0,1,17,,5,1400,70,1,,,,,1,77,200,,,80,,,,,,,,,2,512,,,,,,,,,,,,,,,,,,,,,40,311,100,311,,,,,1764,999,,1609,999,130,,,,313,100,1,,,,1121,999,139,,,,,,,,,,,,,,LSkill3502
??????????????(pen6),3503,,,,3,0,5,0,250,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,25,8,100,,,1036,999,131,,,,192,999,132,,,,9,100,1,,,,1035,999,67,,,,,,,,,,,,,,
??????????????(pen2),3504,,,,3,0,5,0,300,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,25,8,100,,,1036,999,131,,,,192,999,132,,,,9,100,1,,,,1035,999,67,,,,,,,,,,,,,,
??????????????(penegu),3505,,,,8,,0,,,,20,,200,28,,,,,,,19,,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,6,100,,,,,,,,,213,999,,,,,7,100,,,,,,,,,,,,,,,,,,,,,
??????(??????),3506,,,,6,2800,5,,220,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,84,8,100,,,385,0,,,,,1370,0,133,,,,9,100,,425,0,133,1369,999,,,,,,,,,,,,,,,
????????(??????),3507,,,,6,2800,5,,150,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,84,8,100,,,385,0,,,,,1370,0,133,,,,9,100,,425,0,133,1369,999,,,,,,,,,,,,,,,
????????????,3508,,,,17,,5,400,200,,,,50,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,8,100,,,,,,,,,1320,999,133,1366,0,133,9,100,1,,,,1125,999,67,,,,,,,,,,,,,,
????????????,3509,,,,17,,5,700,300,,,,70,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,8,100,,,,,,,,,1320,999,133,1367,999,133,9,100,1,,,,1125,999,67,,,,,,,,,,,,,,
????????????,3510,,,,17,,5,1000,400,,,,90,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,8,100,,,,,,,,,1320,999,,1366,0,133,9,100,1,,,,1310,999,67,,,,,,,,,,,,,,
?????? ????,3511,1,0,1,6,2500,5,0,90,1,23,,60,15,2,77,80,17,100,50,21,,25,,,,,,2,512,,,,,,,,,,,,,,,,,,,,,39,311,100,311,,1603,4,,1604,1,,,,,,,,313,100,1,251,1,90,1121,999,67,,,,,,,,,,,,,,LSkill3511
????????????,3512,,,,8,,0,,,,14,,100,3,,,,,,,23,,300,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,6,100,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
????????3????,3513,,,,3,0,5,0,300,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,32,8,100,131,,1031,999,131,,,,,,,,,,9,125,3,,,,370,999,67,373,999,67,371,999,67,,,,,,,,
????????3????,3514,,,,3,0,5,0,300,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,32,8,100,131,,1031,999,131,,,,,,,,,,9,125,3,,,,370,999,67,373,999,67,371,999,67,,,,,,,,
??????????????,3515,,,,8,,0,,,,18,,70,20,,,,,,,18,,25,,,,,,2,,,,,,,,,,,,,,,,,,,,,,84,6,100,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
