,,,,,,,,,,Forge,Seasonal Event,Item Swap,No Disassem
Ruby [5],427,,12,11314,2,12155,2,,,,,,
Ruby [6],427,,15,11315,2,12155,3,,,,,,
Ruby [7],427,,20,11316,2,12155,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sapphire [1],427,,10,12162,6,,,,,,,,
Sapphire [2],427,,10,11321,2,,,,,,,,
Sapphire [3],427,,12,11322,2,,,,,,,,
Sapphire [4],427,,12,11323,2,12153,1,,,,,,
Sapphire [5],427,,12,11324,2,12153,2,,,,,,
Sapphire [6],427,,15,11325,2,12153,3,,,,,,
Sapphire [7],427,,20,11326,2,12153,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Topaz [1],427,,10,12162,6,,,,,,,,
Topaz [2],427,,10,11331,2,,,,,,,,
Topaz [3],427,,12,11332,2,,,,,,,,
Topaz [4],427,,12,11333,2,12153,1,,,,,,
Topaz [5],427,,12,11334,2,12153,2,,,,,,
Topaz [6],427,,15,11335,2,12153,3,,,,,,
Topaz [7],427,,20,11336,2,12153,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Emerald [1],427,,10,12161,6,,,,,,,,
Emerald [2],427,,10,11341,2,,,,,,,,
Emerald [3],427,,12,11342,2,,,,,,,,
Emerald [4],427,,12,11343,2,12152,1,,,,,,
Emerald [5],427,,12,11344,2,12152,2,,,,,,
Emerald [6],427,,15,11345,2,12152,3,,,,,,
Emerald [7],427,,20,11346,2,12152,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Peridot [1],427,,13,12161,8,,,,,,,,
Peridot [2],427,,15,11351,2,,,,,,,,
Peridot [3],427,,16,11352,2,,,,,,,,
Peridot [4],427,,17,11353,2,12152,1,,,,,,
Peridot [5],427,,18,11354,2,12152,2,,,,,,
Peridot [6],427,,20,11355,2,12152,3,,,,,,
Peridot [7],427,,25,11356,2,12152,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Diamond [1],427,,12,12164,6,,,,,,,,
Diamond [2],427,,15,11361,2,,,,,,,,
Diamond [3],427,,20,11362,2,,,,,,,,
Diamond [4],427,,25,11363,2,12151,1,,,,,,
Diamond [5],427,,30,11364,2,12154,2,,,,,,
Diamond [6],427,,35,11365,2,12156,3,,,,,,
Diamond [7],427,,40,11366,2,12157,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pink Opal [1],427,,13,12164,8,,,,,,,,
Pink Opal [2],427,,15,11371,2,,,,,,,,
Pink Opal [3],427,,16,11372,2,,,,,,,,
Pink Opal [4],427,,17,11373,2,12154,1,,,,,,
Pink Opal [5],427,,18,11374,2,12154,2,,,,,,
Pink Opal [6],427,,20,11375,2,12154,3,,,,,,
Pink Opal [7],427,,25,11376,2,12154,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Amethyst [1],427,,10,12163,10,,,,,,,,
Amethyst [2],427,,10,11381,2,11311,1,11301,1,,,,
Amethyst [3],427,,12,11382,2,11312,1,11302,1,,,,
Amethyst [4],427,,12,11383,2,11313,1,11303,1,,,,
Amethyst [5],427,,12,11384,2,11314,1,11304,1,,,,
Amethyst [6],427,,15,11385,2,11315,1,11305,1,,,,
Amethyst [7],427,,20,11386,2,11316,1,11306,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Black Onyx [1],427,,10,12161,10,12162,10,,,,,,
Black Onyx [2],427,,10,11391,2,11321,1,11341,1,,,,
Black Onyx [3],427,,12,11392,2,11322,1,11342,1,,,,
Black Onyx [4],427,,12,11393,2,11323,1,11343,1,,,,
Black Onyx [5],427,,12,11394,2,11324,1,11344,1,,,,
Black Onyx [6],427,,15,11395,2,11325,1,11345,1,,,,
Black Onyx [7],427,,20,11396,2,11326,1,11346,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tourmaline [1],427,,10,12164,8,,,,,,,,
Tourmaline [2],427,,10,11411,2,,,,,,,,
Tourmaline [3],427,,12,11412,2,,,,,,,,
Tourmaline [4],427,,12,11413,2,12157,1,,,,,,
Tourmaline [5],427,,12,11414,2,12157,2,,,,,,
Tourmaline [6],427,,15,11415,2,12157,3,,,,,,
Tourmaline [7],427,,20,11416,2,12157,4,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HP Armbrace 1,,12470,120,12061,13,12155,1,,,,,,
HP Armbrace 2,,12471,130,12062,16,9200,1,,,,,,
HP Armbrace 3,,12473,140,12063,19,9201,1,,,,,,
HP Armbrace 4,,12474,150,12064,21,9202,1,,,,,,
HP Armbrace 5,,12476,160,12065,24,9203,1,,,,,,
MP Armbrace 1,,12470,120,12061,13,12153,1,,,,,,
MP Armbrace 2,,12471,130,12062,16,9205,1,,,,,,
MP Armbrace 3,,12473,140,12063,19,9206,1,,,,,,
MP Armbrace 4,,12474,150,12064,21,9207,1,,,,,,
MP Armbrace 5,,12476,160,12065,24,9208,1,,,,,,
str Armbrace 1,,12471,120,12063,15,12151,10,,,,,,
str Armbrace 2,,12472,130,12064,18,9210,1,,,,,,
str Armbrace 3,,12474,140,12065,21,9211,1,,,,,,
str Armbrace 4,,12475,150,12066,24,9212,1,,,,,,
str Armbrace 5,,12477,160,12067,27,9213,1,,,,,,
Silenful Armbrace,421,,240,12152,20,12551,20,12552,25,,,,
Neptune's Grace,421,,240,12153,20,12551,20,12553,25,,,,
Moon's Presence,421,,240,12564,3,12565,5,12566,50,,,,
Crest of Delusion,421,,240,12564,3,12567,5,12568,50,,,,
Twilight Desire,421,,240,12102,180,12585,30,12579,15,,,,
Citrine [1],427,,10,12162,10,12164,10,,,,,,
Citrine [2],427,,10,11421,2,11331,1,11411,1,,,,
Citrine [3],427,,12,11422,2,11332,1,11412,1,,,,
Citrine [4],427,,12,11423,2,11333,1,11413,1,,,,
Citrine [5],427,,12,11424,2,11334,1,11414,1,,,,
Citrine [6],427,,15,11425,2,11335,1,11415,1,,,,
Citrine [7],427,,20,11426,2,11336,1,11416,1,,,,
Winged Compass of Time (Blue),421,,240,12613,2,12612,8,12153,30,,,,
Winged Compass of Space (Red),421,,240,12613,2,12612,8,12155,30,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Paladin Mail STR,,3048,1,12521,200,12495,1,12523,2,,,,
Paladin Mail DEX,,3048,1,12521,200,12496,1,12523,2,,,,
Paladin Mail INT,,3048,1,12521,200,12497,1,12523,2,,,,
Paladin Mail CON,,3048,1,12521,200,12498,1,12523,2,,,,
Paladin Mail CHA,,3048,1,12521,200,12499,1,12523,2,,,,
Paladin Mail SEN,,3048,1,12521,200,12500,1,12523,2,,,,
Paladin Mail STR,,3384,1,12521,250,12495,2,12523,4,,,,
Paladin Mail DEX,,3384,1,12521,250,12496,2,12523,4,,,,
Paladin Mail INT,,3384,1,12521,250,12497,2,12523,4,,,,
Paladin Mail CON,,3384,1,12521,250,12498,2,12523,4,,,,
Paladin Mail CHA,,3384,1,12521,250,12499,2,12523,4,,,,
Paladin Mail SEN,,3384,1,12521,250,12500,2,12523,4,,,,
Paladin Mail STR,,3385,1,12521,300,12495,4,12523,6,,,,
Paladin Mail DEX,,3385,1,12521,300,12496,4,12523,6,,,,
Paladin Mail INT,,3385,1,12521,300,12497,4,12523,6,,,,
Paladin Mail CON,,3385,1,12521,300,12498,4,12523,6,,,,
Paladin Mail CHA,,3385,1,12521,300,12499,4,12523,6,,,,
Paladin Mail SEN,,3385,1,12521,300,12500,4,12523,6,,,,
,,,,,,,,,,,,,
Majestic Clothes STR,,3078,1,12521,200,12495,1,12523,2,,,,
Majestic Clothes DEX,,3078,1,12521,200,12496,1,12523,2,,,,
Majestic Clothes INT,,3078,1,12521,200,12497,1,12523,2,,,,
Majestic Clothes CON,,3078,1,12521,200,12498,1,12523,2,,,,
Majestic Clothes CHA,,3078,1,12521,200,12499,1,12523,2,,,,
Majestic Clothes SEN,,3078,1,12521,200,12500,1,12523,2,,,,
Majestic Clothes STR,,3484,1,12521,250,12495,2,12523,4,,,,
Majestic Clothes DEX,,3484,1,12521,250,12496,2,12523,4,,,,
Majestic Clothes INT,,3484,1,12521,250,12497,2,12523,4,,,,
Majestic Clothes CON,,3484,1,12521,250,12498,2,12523,4,,,,
Majestic Clothes CHA,,3484,1,12521,250,12499,2,12523,4,,,,
Majestic Clothes SEN,,3484,1,12521,250,12500,2,12523,4,,,,
Majestic Clothes STR,,3485,1,12521,300,12495,4,12523,6,,,,
Majestic Clothes DEX,,3485,1,12521,300,12496,4,12523,6,,,,
Majestic Clothes INT,,3485,1,12521,300,12497,4,12523,6,,,,
Majestic Clothes CON,,3485,1,12521,300,12498,4,12523,6,,,,
Majestic Clothes CHA,,3485,1,12521,300,12499,4,12523,6,,,,
Majestic Clothes SEN,,3485,1,12521,300,12500,4,12523,6,,,,
,,,,,,,,,,,,,
Fallen Chest STR,,3108,1,12521,200,12495,1,12523,2,,,,
Fallen Chest DEX,,3108,1,12521,200,12496,1,12523,2,,,,
Fallen Chest INT,,3108,1,12521,200,12497,1,12523,2,,,,
Fallen Chest CON,,3108,1,12521,200,12498,1,12523,2,,,,
Fallen Chest CHA,,3108,1,12521,200,12499,1,12523,2,,,,
Fallen Chest SEN,,3108,1,12521,200,12500,1,12523,2,,,,
Fallen Chest STR,,3584,1,12521,250,12495,2,12523,4,,,,
Fallen Chest DEX,,3584,1,12521,250,12496,2,12523,4,,,,
Fallen Chest INT,,3584,1,12521,250,12497,2,12523,4,,,,
Fallen Chest CON,,3584,1,12521,250,12498,2,12523,4,,,,
Fallen Chest CHA,,3584,1,12521,250,12499,2,12523,4,,,,
Fallen Chest SEN,,3584,1,12521,250,12500,2,12523,4,,,,
Fallen Chest STR,,3585,1,12521,300,12495,4,12523,6,,,,
Fallen Chest DEX,,3585,1,12521,300,12496,4,12523,6,,,,
Fallen Chest INT,,3585,1,12521,300,12497,4,12523,6,,,,
Fallen Chest CON,,3585,1,12521,300,12498,4,12523,6,,,,
Fallen Chest CHA,,3585,1,12521,300,12499,4,12523,6,,,,
Fallen Chest SEN,,3585,1,12521,300,12500,4,12523,6,,,,
,,,,,,,,,,,,,
Blaze Vest STR,,3138,1,12521,200,12495,1,12523,2,,,,
Blaze Vest DEX,,3138,1,12521,200,12496,1,12523,2,,,,
Blaze Vest INT,,3138,1,12521,200,12497,1,12523,2,,,,
Blaze Vest CON,,3138,1,12521,200,12498,1,12523,2,,,,
Blaze Vest CHA,,3138,1,12521,200,12499,1,12523,2,,,,
Blaze Vest SEN,,3138,1,12521,200,12500,1,12523,2,,,,
Blaze Vest STR,,3684,1,12521,250,12495,2,12523,4,,,,
Blaze Vest DEX,,3684,1,12521,250,12496,2,12523,4,,,,
Blaze Vest INT,,3684,1,12521,250,12497,2,12523,4,,,,
Blaze Vest CON,,3684,1,12521,250,12498,2,12523,4,,,,
Blaze Vest CHA,,3684,1,12521,250,12499,2,12523,4,,,,
Blaze Vest SEN,,3684,1,12521,250,12500,2,12523,4,,,,
Blaze Vest STR,,3685,1,12521,300,12495,4,12523,6,,,,
Blaze Vest DEX,,3685,1,12521,300,12496,4,12523,6,,,,
Blaze Vest INT,,3685,1,12521,300,12497,4,12523,6,,,,
Blaze Vest CON,,3685,1,12521,300,12498,4,12523,6,,,,
Blaze Vest CHA,,3685,1,12521,300,12499,4,12523,6,,,,
Blaze Vest SEN,,3685,1,12521,300,12500,4,12523,6,,,,
,,,,,,,,,,,,,
Paladin Helm STR,,2048,1,12521,200,12495,1,12522,2,,,,
Paladin Helm DEX,,2048,1,12521,200,12496,1,12522,2,,,,
Paladin Helm INT,,2048,1,12521,200,12497,1,12522,2,,,,
Paladin Helm CON,,2048,1,12521,200,12498,1,12522,2,,,,
Paladin Helm CHA,,2048,1,12521,200,12499,1,12522,2,,,,
Paladin Helm SEN,,2048,1,12521,200,12500,1,12522,2,,,,
Paladin Helm STR,,2484,1,12521,250,12495,2,12522,3,,,,
Paladin Helm DEX,,2484,1,12521,250,12496,2,12522,3,,,,
Paladin Helm INT,,2484,1,12521,250,12497,2,12522,3,,,,
Paladin Helm CON,,2484,1,12521,250,12498,2,12522,3,,,,
Paladin Helm CHA,,2484,1,12521,250,12499,2,12522,3,,,,
Paladin Helm SEN,,2484,1,12521,250,12500,2,12522,3,,,,
Paladin Helm STR,,2485,1,12521,300,12495,4,12522,5,,,,
Paladin Helm DEX,,2485,1,12521,300,12496,4,12522,5,,,,
Paladin Helm INT,,2485,1,12521,300,12497,4,12522,5,,,,
Paladin Helm CON,,2485,1,12521,300,12498,4,12522,5,,,,
Paladin Helm CHA,,2485,1,12521,300,12499,4,12522,5,,,,
Paladin Helm SEN,,2485,1,12521,300,12500,4,12522,5,,,,
,,,,,,,,,,,,,
Majestic Hat STR,,2078,1,12521,200,12495,1,12522,2,,,,
Majestic Hat DEX,,2078,1,12521,200,12496,1,12522,2,,,,
Majestic Hat INT,,2078,1,12521,200,12497,1,12522,2,,,,
Majestic Hat CON,,2078,1,12521,200,12498,1,12522,2,,,,
Majestic Hat CHA,,2078,1,12521,200,12499,1,12522,2,,,,
Majestic Hat SEN,,2078,1,12521,200,12500,1,12522,2,,,,
Majestic Hat STR,,2584,1,12521,250,12495,2,12522,3,,,,
Majestic Hat DEX,,2584,1,12521,250,12496,2,12522,3,,,,
Majestic Hat INT,,2584,1,12521,250,12497,2,12522,3,,,,
Majestic Hat CON,,2584,1,12521,250,12498,2,12522,3,,,,
Majestic Hat CHA,,2584,1,12521,250,12499,2,12522,3,,,,
Majestic Hat SEN,,2584,1,12521,250,12500,2,12522,3,,,,
Majestic Hat STR,,2585,1,12521,300,12495,4,12522,5,,,,
Majestic Hat DEX,,2585,1,12521,300,12496,4,12522,5,,,,
Majestic Hat INT,,2585,1,12521,300,12497,4,12522,5,,,,
Majestic Hat CON,,2585,1,12521,300,12498,4,12522,5,,,,
Majestic Hat CHA,,2585,1,12521,300,12499,4,12522,5,,,,
Majestic Hat SEN,,2585,1,12521,300,12500,4,12522,5,,,,
,,,,,,,,,,,,,
Fallen Skull STR,,2108,1,12521,200,12495,1,12522,2,,,,
Fallen Skull DEX,,2108,1,12521,200,12496,1,12522,2,,,,
Fallen Skull INT,,2108,1,12521,200,12497,1,12522,2,,,,
Fallen Skull CON,,2108,1,12521,200,12498,1,12522,2,,,,
Fallen Skull CHA,,2108,1,12521,200,12499,1,12522,2,,,,
Fallen Skull SEN,,2108,1,12521,200,12500,1,12522,2,,,,
Fallen Skull STR,,2684,1,12521,250,12495,2,12522,3,,,,
Fallen Skull DEX,,2684,1,12521,250,12496,2,12522,3,,,,
Fallen Skull INT,,2684,1,12521,250,12497,2,12522,3,,,,
Fallen Skull CON,,2684,1,12521,250,12498,2,12522,3,,,,
Fallen Skull CHA,,2684,1,12521,250,12499,2,12522,3,,,,
Fallen Skull SEN,,2684,1,12521,250,12500,2,12522,3,,,,
Fallen Skull STR,,2685,1,12521,300,12495,4,12522,5,,,,
Fallen Skull DEX,,2685,1,12521,300,12496,4,12522,5,,,,
Fallen Skull INT,,2685,1,12521,300,12497,4,12522,5,,,,
Fallen Skull CON,,2685,1,12521,300,12498,4,12522,5,,,,
Fallen Skull CHA,,2685,1,12521,300,12499,4,12522,5,,,,
Fallen Skull SEN,,2685,1,12521,300,12500,4,12522,5,,,,
,,,,,,,,,,,,,
Blaze Cap STR,,2138,1,12521,200,12495,1,12522,2,,,,
Blaze Cap DEX,,2138,1,12521,200,12496,1,12522,2,,,,
Blaze Cap INT,,2138,1,12521,200,12497,1,12522,2,,,,
Blaze Cap CON,,2138,1,12521,200,12498,1,12522,2,,,,
Blaze Cap CHA,,2138,1,12521,200,12499,1,12522,2,,,,
Blaze Cap SEN,,2138,1,12521,200,12500,1,12522,2,,,,
Blaze Cap STR,,2784,1,12521,250,12495,2,12522,3,,,,
Blaze Cap DEX,,2784,1,12521,250,12496,2,12522,3,,,,
Blaze Cap INT,,2784,1,12521,250,12497,2,12522,3,,,,
Blaze Cap CON,,2784,1,12521,250,12498,2,12522,3,,,,
Blaze Cap CHA,,2784,1,12521,250,12499,2,12522,3,,,,
Blaze Cap SEN,,2784,1,12521,250,12500,2,12522,3,,,,
Blaze Cap STR,,2785,1,12521,300,12495,4,12522,5,,,,
Blaze Cap DEX,,2785,1,12521,300,12496,4,12522,5,,,,
Blaze Cap INT,,2785,1,12521,300,12497,4,12522,5,,,,
Blaze Cap CON,,2785,1,12521,300,12498,4,12522,5,,,,
Blaze Cap CHA,,2785,1,12521,300,12499,4,12522,5,,,,
Blaze Cap SEN,,2785,1,12521,300,12500,4,12522,5,,,,
,,,,,,,,,,,,,
Paladin Gauntlets STR,,4048,1,12521,200,12495,1,12524,1,,,,
Paladin Gauntlets DEX,,4048,1,12521,200,12496,1,12524,1,,,,
Paladin Gauntlets INT,,4048,1,12521,200,12497,1,12524,1,,,,
Paladin Gauntlets CON,,4048,1,12521,200,12498,1,12524,1,,,,
Paladin Gauntlets CHA,,4048,1,12521,200,12499,1,12524,1,,,,
Paladin Gauntlets SEN,,4048,1,12521,200,12500,1,12524,1,,,,
Paladin Gauntlets STR,,4384,1,12521,250,12495,2,12524,2,,,,
Paladin Gauntlets DEX,,4384,1,12521,250,12496,2,12524,2,,,,
Paladin Gauntlets INT,,4384,1,12521,250,12497,2,12524,2,,,,
Paladin Gauntlets CON,,4384,1,12521,250,12498,2,12524,2,,,,
Paladin Gauntlets CHA,,4384,1,12521,250,12499,2,12524,2,,,,
Paladin Gauntlets SEN,,4384,1,12521,250,12500,2,12524,2,,,,
Paladin Gauntlets STR,,4385,1,12521,300,12495,4,12524,3,,,,
Paladin Gauntlets DEX,,4385,1,12521,300,12496,4,12524,3,,,,
Paladin Gauntlets INT,,4385,1,12521,300,12497,4,12524,3,,,,
Paladin Gauntlets CON,,4385,1,12521,300,12498,4,12524,3,,,,
Paladin Gauntlets CHA,,4385,1,12521,300,12499,4,12524,3,,,,
Paladin Gauntlets SEN,,4385,1,12521,300,12500,4,12524,3,,,,
,,,,,,,,,,,,,
Majestic Gloves STR,,4078,1,12521,200,12495,1,12524,1,,,,
Majestic Gloves DEX,,4078,1,12521,200,12496,1,12524,1,,,,
Majestic Gloves INT,,4078,1,12521,200,12497,1,12524,1,,,,
Majestic Gloves CON,,4078,1,12521,200,12498,1,12524,1,,,,
Majestic Gloves CHA,,4078,1,12521,200,12499,1,12524,1,,,,
Majestic Gloves SEN,,4078,1,12521,200,12500,1,12524,1,,,,
Majestic Gloves STR,,4484,1,12521,250,12495,2,12524,2,,,,
Majestic Gloves DEX,,4484,1,12521,250,12496,2,12524,2,,,,
Majestic Gloves INT,,4484,1,12521,250,12497,2,12524,2,,,,
Majestic Gloves CON,,4484,1,12521,250,12498,2,12524,2,,,,
Majestic Gloves CHA,,4484,1,12521,250,12499,2,12524,2,,,,
Majestic Gloves SEN,,4484,1,12521,250,12500,2,12524,2,,,,
Majestic Gloves STR,,4485,1,12521,300,12495,4,12524,3,,,,
Majestic Gloves DEX,,4485,1,12521,300,12496,4,12524,3,,,,
Majestic Gloves INT,,4485,1,12521,300,12497,4,12524,3,,,,
Majestic Gloves CON,,4485,1,12521,300,12498,4,12524,3,,,,
Majestic Gloves CHA,,4485,1,12521,300,12499,4,12524,3,,,,
Majestic Gloves SEN,,4485,1,12521,300,12500,4,12524,3,,,,
,,,,,,,,,,,,,
Fallen Gloves STR,,4108,1,12521,200,12495,1,12524,1,,,,
Fallen Gloves DEX,,4108,1,12521,200,12496,1,12524,1,,,,
Fallen Gloves INT,,4108,1,12521,200,12497,1,12524,1,,,,
Fallen Gloves CON,,4108,1,12521,200,12498,1,12524,1,,,,
Fallen Gloves CHA,,4108,1,12521,200,12499,1,12524,1,,,,
Fallen Gloves SEN,,4108,1,12521,200,12500,1,12524,1,,,,
Fallen Gloves STR,,4584,1,12521,250,12495,2,12524,2,,,,
Fallen Gloves DEX,,4584,1,12521,250,12496,2,12524,2,,,,
Fallen Gloves INT,,4584,1,12521,250,12497,2,12524,2,,,,
Fallen Gloves CON,,4584,1,12521,250,12498,2,12524,2,,,,
Fallen Gloves CHA,,4584,1,12521,250,12499,2,12524,2,,,,
Fallen Gloves SEN,,4584,1,12521,250,12500,2,12524,2,,,,
Fallen Gloves STR,,4585,1,12521,300,12495,4,12524,3,,,,
Fallen Gloves DEX,,4585,1,12521,300,12496,4,12524,3,,,,
Fallen Gloves INT,,4585,1,12521,300,12497,4,12524,3,,,,
Fallen Gloves CON,,4585,1,12521,300,12498,4,12524,3,,,,
Fallen Gloves CHA,,4585,1,12521,300,12499,4,12524,3,,,,
Fallen Gloves SEN,,4585,1,12521,300,12500,4,12524,3,,,,
,,,,,,,,,,,,,
Blaze Gloves STR,,4138,1,12521,200,12495,1,12524,1,,,,
Blaze Gloves DEX,,4138,1,12521,200,12496,1,12524,1,,,,
Blaze Gloves INT,,4138,1,12521,200,12497,1,12524,1,,,,
Blaze Gloves CON,,4138,1,12521,200,12498,1,12524,1,,,,
Blaze Gloves CHA,,4138,1,12521,200,12499,1,12524,1,,,,
Blaze Gloves SEN,,4138,1,12521,200,12500,1,12524,1,,,,
Blaze Gloves STR,,4684,1,12521,250,12495,2,12524,2,,,,
Blaze Gloves DEX,,4684,1,12521,250,12496,2,12524,2,,,,
Blaze Gloves INT,,4684,1,12521,250,12497,2,12524,2,,,,
Blaze Gloves CON,,4684,1,12521,250,12498,2,12524,2,,,,
Blaze Gloves CHA,,4684,1,12521,250,12499,2,12524,2,,,,
Blaze Gloves SEN,,4684,1,12521,250,12500,2,12524,2,,,,
Blaze Gloves STR,,4685,1,12521,300,12495,4,12524,3,,,,
Blaze Gloves DEX,,4685,1,12521,300,12496,4,12524,3,,,,
Blaze Gloves INT,,4685,1,12521,300,12497,4,12524,3,,,,
Blaze Gloves CON,,4685,1,12521,300,12498,4,12524,3,,,,
Blaze Gloves CHA,,4685,1,12521,300,12499,4,12524,3,,,,
Blaze Gloves SEN,,4685,1,12521,300,12500,4,12524,3,,,,
,,,,,,,,,,,,,
Paladin Boots STR,,5048,1,12521,200,12495,1,12525,2,,,,
Paladin Boots DEX,,5048,1,12521,200,12496,1,12525,2,,,,
Paladin Boots INT,,5048,1,12521,200,12497,1,12525,2,,,,
Paladin Boots CON,,5048,1,12521,200,12498,1,12525,2,,,,
Paladin Boots CHA,,5048,1,12521,200,12499,1,12525,2,,,,
Paladin Boots SEN,,5048,1,12521,200,12500,1,12525,2,,,,
Paladin Boots STR,,5384,1,12521,250,12495,2,12525,3,,,,
Paladin Boots DEX,,5384,1,12521,250,12496,2,12525,3,,,,
Paladin Boots INT,,5384,1,12521,250,12497,2,12525,3,,,,
Paladin Boots CON,,5384,1,12521,250,12498,2,12525,3,,,,
Paladin Boots CHA,,5384,1,12521,250,12499,2,12525,3,,,,
Paladin Boots SEN,,5384,1,12521,250,12500,2,12525,3,,,,
Paladin Boots STR,,5385,1,12521,300,12495,4,12525,4,,,,
Paladin Boots DEX,,5385,1,12521,300,12496,4,12525,4,,,,
Paladin Boots INT,,5385,1,12521,300,12497,4,12525,4,,,,
Paladin Boots CON,,5385,1,12521,300,12498,4,12525,4,,,,
Paladin Boots CHA,,5385,1,12521,300,12499,4,12525,4,,,,
Paladin Boots SEN,,5385,1,12521,300,12500,4,12525,4,,,,
,,,,,,,,,,,,,
Majestic Shoes STR,,5078,1,12521,200,12495,1,12525,2,,,,
Majestic Shoes DEX,,5078,1,12521,200,12496,1,12525,2,,,,
Majestic Shoes INT,,5078,1,12521,200,12497,1,12525,2,,,,
Majestic Shoes CON,,5078,1,12521,200,12498,1,12525,2,,,,
Majestic Shoes CHA,,5078,1,12521,200,12499,1,12525,2,,,,
Majestic Shoes SEN,,5078,1,12521,200,12500,1,12525,2,,,,
Majestic Shoes STR,,5484,1,12521,250,12495,2,12525,3,,,,
Majestic Shoes DEX,,5484,1,12521,250,12496,2,12525,3,,,,
Majestic Shoes INT,,5484,1,12521,250,12497,2,12525,3,,,,
Majestic Shoes CON,,5484,1,12521,250,12498,2,12525,3,,,,
Majestic Shoes CHA,,5484,1,12521,250,12499,2,12525,3,,,,
Majestic Shoes SEN,,5484,1,12521,250,12500,2,12525,3,,,,
Majestic Shoes STR,,5485,1,12521,300,12495,4,12525,4,,,,
Majestic Shoes DEX,,5485,1,12521,300,12496,4,12525,4,,,,
Majestic Shoes INT,,5485,1,12521,300,12497,4,12525,4,,,,
Majestic Shoes CON,,5485,1,12521,300,12498,4,12525,4,,,,
Majestic Shoes CHA,,5485,1,12521,300,12499,4,12525,4,,,,
Majestic Shoes SEN,,5485,1,12521,300,12500,4,12525,4,,,,
,,,,,,,,,,,,,
Fallen Boots STR,,5108,1,12521,200,12495,1,12525,2,,,,
Fallen Boots DEX,,5108,1,12521,200,12496,1,12525,2,,,,
Fallen Boots INT,,5108,1,12521,200,12497,1,12525,2,,,,
Fallen Boots CON,,5108,1,12521,200,12498,1,12525,2,,,,
Fallen Boots CHA,,5108,1,12521,200,12499,1,12525,2,,,,
Fallen Boots SEN,,5108,1,12521,200,12500,1,12525,2,,,,
Fallen Boots STR,,5584,1,12521,250,12495,2,12525,3,,,,
Fallen Boots DEX,,5584,1,12521,250,12496,2,12525,3,,,,
Fallen Boots INT,,5584,1,12521,250,12497,2,12525,3,,,,
Fallen Boots CON,,5584,1,12521,250,12498,2,12525,3,,,,
Fallen Boots CHA,,5584,1,12521,250,12499,2,12525,3,,,,
Fallen Boots SEN,,5584,1,12521,250,12500,2,12525,3,,,,
Fallen Boots STR,,5585,1,12521,300,12495,4,12525,4,,,,
Fallen Boots DEX,,5585,1,12521,300,12496,4,12525,4,,,,
Fallen Boots INT,,5585,1,12521,300,12497,4,12525,4,,,,
Fallen Boots CON,,5585,1,12521,300,12498,4,12525,4,,,,
Fallen Boots CHA,,5585,1,12521,300,12499,4,12525,4,,,,
Fallen Boots SEN,,5585,1,12521,300,12500,4,12525,4,,,,
,,,,,,,,,,,,,
Blaze Boots STR,,5138,1,12521,200,12495,1,12525,2,,,,
Blaze Boots DEX,,5138,1,12521,200,12496,1,12525,2,,,,
Blaze Boots INT,,5138,1,12521,200,12497,1,12525,2,,,,
Blaze Boots CON,,5138,1,12521,200,12498,1,12525,2,,,,
Blaze Boots CHA,,5138,1,12521,200,12499,1,12525,2,,,,
Blaze Boots SEN,,5138,1,12521,200,12500,1,12525,2,,,,
Blaze Boots STR,,5684,1,12521,250,12495,2,12525,3,,,,
Blaze Boots DEX,,5684,1,12521,250,12496,2,12525,3,,,,
Blaze Boots INT,,5684,1,12521,250,12497,2,12525,3,,,,
Blaze Boots CON,,5684,1,12521,250,12498,2,12525,3,,,,
Blaze Boots CHA,,5684,1,12521,250,12499,2,12525,3,,,,
Blaze Boots SEN,,5684,1,12521,250,12500,2,12525,3,,,,
Blaze Boots STR,,5685,1,12521,300,12495,4,12525,4,,,,
Blaze Boots DEX,,5685,1,12521,300,12496,4,12525,4,,,,
Blaze Boots INT,,5685,1,12521,300,12497,4,12525,4,,,,
Blaze Boots CON,,5685,1,12521,300,12498,4,12525,4,,,,
Blaze Boots CHA,,5685,1,12521,300,12499,4,12525,4,,,,
Blaze Boots SEN,,5685,1,12521,300,12500,4,12525,4,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
