,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molten Boulder Golem,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,,12381,,12381,12521,12380,12381,12087,12153,12380,12088,11333,11363,,,,,,,,,,,,,,,,,,,,
Anubis Spearman,12065,12062,12084,12085,12082,12078,12098,12116,12117,12121,12157,12161,12202,12286,12128,12105,11311,11361,12009,12010,10014,10033,10168,10180,10301,4577,5102,8811,8848,3072,4578,4578,,,,,,,,,,,,,,,,,,
Horus Bowman,10159,12020,12051,12050,12060,12058,12078,12074,12091,12120,12105,12103,12102,12100,12131,12132,12191,12192,12002,12002,12181,12187,12196,12286,12247,12067,11342,5072,5477,12001,,,,,,,,,,,,,,,,,,,,
Horus Swordsman,10159,12020,12051,12050,12060,12058,12077,12076,12091,12120,12105,12103,12102,12100,12132,12131,12192,12191,12205,12204,12181,12187,12196,12286,12248,4042,4377,11302,12066,12002,,,,,,,,,,,,,,,,,,,,
Anubis Berserker,12133,12133,12103,12103,12103,12103,12105,12105,12105,12104,12104,12104,12161,12162,12163,12164,12161,12162,12163,12164,1,1,2,3,2,4,3,1,10319,10317,10316,12157,,,,,,,,,,,,,,,,12086,12221,12221
Lich Adviser,12381,12087,12088,12067,12068,12069,12364,12365,12213,2480,3380,4380,5380,10313,10314,4380,8023,8052,8076,2480,3380,11302,11312,7108,7109,7186,5380,3380,11382,12087,12381,,,,,,,,,,,,,,,,,,,
Lich Pharaoh,12381,12087,12088,12067,12068,12069,12366,12367,12141,2580,3480,4480,5480,10315,10316,4380,8121,8152,8184,2580,3480,11322,11332,7107,7021,7186,5480,3480,11382,12087,12381,,,,,,,,,,,,,,,,,,,
Anubis Mage,12381,12066,12131,12151,12104,12115,12162,10295,10157,10058,10033,10014,10381,12020,12052,12076,12083,12094,12288,12203,12008,11371,12058,12060,12123,12162,12086,8666,8722,12001,12381,,,,,,,,,,,,,,,,,,,
giant mummy ,12381,12087,12088,12067,12068,12069,12368,12369,12133,2680,3580,4580,5580,10317,10318,4580,8222,8251,8279,2680,10170,11342,11352,10381,12161,12162,5580,3580,11382,12087,12381,,,,,,,,,,,,,,,,,,,
giant anubis,12381,12087,12088,12067,12068,12069,12370,12371,12133,2780,3680,4680,5680,10319,10319,4680,8322,8350,8421,8449,10160,2780,11362,11372,12163,12164,5680,3680,11382,12087,12381,,,,,,,,,,,,,,,,,,,
lich 1 unique,12381,12087,12088,12067,12068,12069,12364,12365,12213,2481,3381,4381,5381,12069,12087,12088,8529,8558,8575,10160,12088,11303,12289,7108,7109,7186,11383,12087,12069,7365,12381,,,,,,,,,,,,,,,,,,,
lich 2 unique,12381,12087,12088,12067,12068,12069,12366,12367,12141,2581,3481,4481,5481,12069,12087,12088,8600,8633,8667,10160,12088,11323,12289,12088,7021,7186,11383,12088,12069,7353,12381,,,,,,,,,,,,,,,,,,,
giant mummy unique,12381,12087,12088,12067,12068,12069,12368,12369,12133,2681,3581,4581,5581,12069,12087,12088,8691,8723,8750,10160,12088,4581,12290,10381,12161,12088,11383,12087,12069,7341,12381,,,,,,,,,,,,,,,,,,,
giant anubis unique,12381,12087,12088,12067,12068,12069,12370,12371,12133,2781,3681,4681,5681,12069,12087,12088,8789,8812,8849,8869,12088,4681,8936,11372,12088,12164,11383,12088,12069,7377,12381,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hook,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11301,11321,11362,11382,12381,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11303,11313,11323,10188,10188,,10189,10189,,10190,10190,,7252,7262,7272,8483
sikuku,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11311,11331,11372,11332,12381,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11303,11313,11323,10188,10188,,10189,10189,,10190,10190,,7252,7262,7272,8482
pred,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11341,11351,11362,11372,12381,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11333,11343,11353,10188,10188,,10189,10189,,10190,10190,,,7253,7263,7273
turak,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11361,11371,11342,11352,12381,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11333,11343,11353,10188,10188,,10189,10189,,10190,10190,,7253,7263,7273,8481
ikaness,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11371,11331,11312,11332,12381,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11363,11373,11383,10188,10188,,10189,10189,,10190,10190,,,7254,7264,7274
moss,12161,12162,12163,12164,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,11361,11381,11302,11321,,1,1,2,3,2,4,3,1,10342,10343,10344,10345,10346,10347,11363,11373,11383,10188,10188,,10189,10189,,10190,10190,,,7254,7264,7274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pincer,12280,12280,12135,12280,12134,12280,12135,12280,12280,12280,12280,12280,12280,12280,10010,10029,12381,12162,12163,12164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hook,12280,12280,12136,12280,12280,12137,12280,12280,12280,12137,12280,12280,12280,12136,10010,10029,12161,12162,12163,12164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nepenthis,12136,12279,12279,12279,12137,12279,12279,12137,12279,12279,12279,12279,12279,12279,10010,10029,12161,12162,12163,12164,12182,12182,12183,12183,12182,12182,12183,,,,,,,,,,,,,,,,,,,,,,,
warbiz,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,12280,10010,10029,12161,12162,12163,12164,7251,12199,7008,,,,,,,,,,,,,,,,,,,,,,,,,,,
sikuku leader,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12161,12162,12163,12164,7261,7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sikuku phychic,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12161,,,,7261,,,,,,,,,12139,3455,3455,5455,5455,,,,,,,,,,,,,,,,
sikuku butcher,12282,12137,12282,12282,12137,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,,12161,,,,,,,,,,,,12139,,,,,,,,,,,,,,,,,,,,
poison weaver,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,12278,10010,10029,12161,12162,12163,12164,,,7170,,1,2,3,3,2,4,8020,8049,8118,8147,8179,,,,,,,,,,,,,,,
rotton elemental,12281,12281,12281,12281,12281,12281,12281,12281,12281,,,12281,12281,12281,10010,10029,12161,12162,12163,12164,,,,,7102,8417,8346,8275,,,,,,,,,,,,,,,,,,,,,,
rotton tree,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,10010,10029,12161,12162,12163,12164,12183,12183,12182,12182,,,,,,,,,,,,,,,,,,,,,,,,,,
sikuku tiger rider,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,12282,10010,10029,12282,,12282,,,,,12161,8179,8318,8049,,,,,,,,,,,,,,,,,,,,,,,
lion sikuku assasin leader,12282,12282,12282,12381,12136,12282,12282,12278,12282,12282,,12282,12282,12282,,,,,,,,,,12155,,12282,8123,8149,8150,4,12282,12282,12282,12282,,,,,,,,,,,,,,,,
lion sikuku assasin captain,12282,12282,12282,12381,12136,12282,12282,12278,12282,12282,,12282,12282,12282,10010,10029,,,,,5071,,,,,,8224,8324,8252,1,12282,12282,12282,12282,,,,,,,,,,,,,,,,
ikaness miner,12037,12038,12064,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,,,12061,10294,12099,12134,12135,,,,,,,,,,,,,,,,,,,,,,,,,
ikaness leader,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,,,,12099,12135,12064,12069,12134,12135,,12139,,,,,,,,,,,,,,,,,,,,,
ikaness engineer,12037,12038,12039,12040,12047,12048,12049,10013,10032,12008,12009,12010,12016,12017,12059,12060,12067,12068,12084,12085,12086,12063,12020,,,,,8221,8051,8349,,,,,,,,,,,,,,,,,,,,
moss ant,12038,12038,12038,12039,12047,12039,12047,12047,12049,12049,12048,12048,12164,10013,12162,12161,12050,10157,10032,10167,12163,10013,10032,8349,8221,,,,3102,8120,,,,,,,,,,,,,,,,,,,,
melt dut,12038,12038,12039,12039,12039,12047,12137,12136,12048,12048,12049,12049,12164,12050,12050,10032,10013,10167,11312,10013,10032,10157,,8448,,,,,8278,8022,,,,,,,,,,,,,,,,,,,,
orpe lukette,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,10032,10032,11351,8278,8183,8349,12139,,,,,,,,,,,,,,,,,,,,
eudy lukette,12038,12038,12038,12039,12039,12039,12039,12047,12047,12047,12048,12048,12164,12049,12049,12161,12050,12050,12162,10013,12163,10013,10032,12135,8420,12197,12135,8022,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Sikuku Slaughterer,10901,10901,10901,8001387,12152,12153,8001388,12155,12156,12157,12087,12088,12087,12088,12087,12088,12087,12088,12087,8557,8632,8722,5680,4580,3380,2580,8558,8633,8723,12536,,,,,,,,,,,,,,,,,,,,
Super Ant Vagabond,10901,10901,10901,8001389,12152,12153,8001390,12155,12156,12157,12087,12088,12087,12088,12087,12088,12087,12088,12087,8788,8848,8666,5380,4480,3580,2780,8789,8849,8667,12537,,,,,,,,,,,,,,,,,,,,
Super Heavygear,10901,10901,10901,12151,12152,12153,8001392,12155,12156,12157,12087,12088,12087,12088,12087,12088,12087,12088,12087,8811,8528,8868,5480,4380,3680,2680,8812,8529,8869,12538,,,,,,,,,,,,,,,,,,,,
Super Moss Golem,10901,10901,10901,8001391,12152,12153,12154,12155,12156,12157,12087,12088,12087,12088,12087,12088,12087,12088,12087,8599,8690,8749,5580,4680,3480,2480,8600,8691,8750,12539,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dupe slaught,8557,8632,8722,,12088,12088,12088,12088,5578,4679,3479,2478,,12068,8941,,8952,12069,8921,5681,4581,3381,2581,8558,8633,8723,,12087,,12536,,,,,,,,,,,,,,,,,,,,
dupe vaga,8788,8848,8666,,12088,12088,12088,12088,5679,5479,3379,2679,,12068,8934,,8983,12069,8969,5381,4481,3581,2781,8789,8849,8667,,12087,,12537,,,,,,,,,,,,,,,,,,,,
dupe heavy,8811,8528,8868,,12088,12088,12088,12088,2779,3579,4379,4479,,12068,8960,,8942,12069,8954,5481,4381,3681,2681,8812,8529,8869,,12087,,12538,,,,,,,,,,,,,,,,,,,,
dup moss,8599,8690,8749,,12088,12088,12088,12088,2679,3677,4579,5379,,12068,8992,,8968,12069,8902,5581,4681,3481,2481,8600,8691,8750,,12087,,12539,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver,11402,11402,5666,5569,5467,5367,4669,4568,4466,4369,3668,3566,3469,3368,2769,2667,2567,2466,8846,8809,8808,8786,8747,8720,8688,8664,8630,8597,8555,8526,2769,2568,3468,5468,4468,5669,5468,3669,2666,4566,,3566,3566,5566,5566,,,,,
golden,11403,11403,5673,5576,5473,5374,4675,4575,4476,4376,3676,3573,3474,3375,2775,2675,2576,2474,8867,8847,8810,8787,8748,8721,8689,8665,8631,8598,8556,8527,2467,3375,2573,3473,4473,5473,2674,3574,4574,5574,,2774,2774,3674,3674,4674,4674,5674,5674,
sikuku king,2452,2553,2654,6291,3354,3454,3553,3655,4355,4453,4552,4652,5354,5455,5555,5653,2460,2561,2660,6291,3359,3462,3562,3661,4362,4461,4562,5460,5562,6291,3362,12381,12381,12381,6291,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anubis Mage 6-8,12064,12066,12381,12151,12104,12381,12162,10295,10157,10058,10033,10014,10381,12020,12052,12076,12083,12094,12288,12381,12008,11371,12058,12060,12123,12162,12086,8666,8722,7339,,,,,,,,,,,,,,,,,,,,
Anubis Mage 12-14,12064,12066,12381,12151,12104,12381,12162,10295,10157,10058,10033,10014,10381,12020,12052,12076,12083,12094,12288,12381,12008,11371,12058,12060,12123,12162,12086,8666,8722,7395,,,,,,,,,,,,,,,,,,,,
Anubis Mage 18-20,12064,12066,12381,12151,12104,12381,12162,10295,10157,10058,10033,10014,10381,12020,12052,12076,12083,12094,12288,12381,12008,11371,12058,12060,12123,12162,12086,8666,8722,7403,,,,,,,,,,,,,,,,,,,,
Mummy 5 0-2,12095,12278,12285,12201,12186,12164,10057,10033,10014,12248,12278,12003,12093,12131,12132,12119,12120,12103,12079,12078,12381,12023,12007,8349,8278,12081,12082,12083,12065,7351,,,,,,,,,,,,,,,,,,,,
Mummy 5,12095,12278,12285,12201,12186,12164,10057,10033,10014,12248,12278,12003,12093,12131,12132,12119,12120,12103,12079,12078,12381,12023,12007,8349,8278,12081,12082,12083,12065,7371,,,,,,,,,,,,,,,,,,,,
Mummy 5 16-18,12095,12278,12285,12201,12186,12164,10057,10033,10014,12248,12278,12003,12093,12131,12132,12119,12120,12103,12079,12078,12381,12023,12007,8349,8278,12081,12082,12083,12065,7379,,,,,,,,,,,,,,,,,,,,
Lich Adviser 2-4,12086,12087,12088,12067,12068,12069,12364,12365,12213,2480,3381,4381,5381,10313,10314,10058,8529,8558,8575,4381,3381,11302,11312,7108,7109,7186,12381,2481,12381,7340,,,,,,,,,,,,,,,,,,,,
Lich Adviser 9-11,12086,12087,12088,12067,12068,12069,12364,12365,12213,2480,3381,4381,5381,10313,10314,10058,8529,8558,8575,4381,3381,11302,11312,7108,7109,7186,12381,2481,12381,7344,,,,,,,,,,,,,,,,,,,,
Lich Adviser 15-17,12086,12087,12088,12067,12068,12069,12364,12365,12213,2480,3381,4381,5381,10313,10314,10058,8529,8558,8575,4381,3381,11302,11312,7108,7109,7186,12381,2481,12381,7348,,,,,,,,,,,,,,,,,,,,
Lich Pharaoh 4-6,12086,12087,12088,12067,12068,12069,12366,12367,12141,2581,3481,4481,5481,10315,10316,10058,8600,8633,8667,4481,3481,11322,11332,7028,7108,7186,12381,2581,12381,7364,,,,,,,,,,,,,,,,,,,,
Lich Pharaoh 11-13,12086,12087,12088,12067,12068,12069,12366,12367,12141,2581,3481,4481,5481,10315,10316,10058,8600,8633,8667,4481,3481,11322,11332,7028,7108,7186,12381,2581,12381,7368,,,,,,,,,,,,,,,,,,,,
Lich Pharaoh 17-19,12086,12087,12088,12067,12068,12069,12366,12367,12141,2581,3481,4481,5481,10315,10316,10058,8600,8633,8667,4481,3481,11322,11332,7028,7108,7186,12381,2581,12381,7372,,,,,,,,,,,,,,,,,,,,
Giant Mummy 6-8,12086,12087,12088,12067,12068,12069,12368,12369,12133,2681,3581,4581,5581,10317,10318,10058,8691,8723,8750,4581,3581,11342,11352,10381,12161,12162,12381,2681,12381,7400,,,,,,,,,,,,,,,,,,,,
Giant Mummy 13-15,12086,12087,12088,12067,12068,12069,12368,12369,12133,2681,3581,4581,5581,10317,10318,10058,8691,8723,8750,4581,3581,11342,11352,10381,12161,12162,12381,2681,12381,7404,,,,,,,,,,,,,,,,,,,,
Giant Mummy 21-23,12086,12087,12088,12067,12068,12069,12368,12369,12133,2681,3581,4581,5581,10317,10318,10058,8691,8723,8750,4581,3581,11342,11352,10381,12161,12162,12381,2681,12381,7408,,,,,,,,,,,,,,,,,,,,
Giant Anubis 4-6,12086,12087,12088,12067,12068,12069,12370,12371,12133,2781,3681,4681,5681,10319,10319,10058,8789,8812,8849,8869,3681,4681,11362,11372,12163,12164,12381,2781,12381,7376,,,,,,,,,,,,,,,,,,,,
Giant Anubis 17-19,12086,12087,12088,12067,12068,12069,12370,12371,12133,2781,3681,4681,5681,10319,10319,10058,8789,8812,8849,8869,3681,4681,11362,11372,12163,12164,12381,2781,12381,7380,,,,,,,,,,,,,,,,,,,,
Giant Anubis 20-22,12086,12087,12088,12067,12068,12069,12370,12371,12133,2781,3681,4681,5681,10319,10319,10058,8789,8812,8849,8869,3681,4681,11362,11372,12163,12164,12381,2781,12381,7384,,,,,,,,,,,,,,,,,,,,
Amun Warrior,12006,12006,12015,12015,12061,12062,12091,12091,12104,12104,12115,12120,12120,12155,11381,11389,10383,10309,10160,12381,12245,12252,12381,12381,12069,2043,12151,12185,8023,5579,,,,,,,,,,,,,,,,,,,,
Entiku Princess,2133,3133,4133,5133,4479,3479,12161,12162,12163,12164,,12153,,2133,3133,4133,5133,4479,3479,12161,12162,12163,12164,8001297,2133,3133,4133,5133,4479,3479,,,,,,,,,,,,,,,,,,,,
Deadly Imparis,10033,12095,12113,12113,12212,12133,12133,12020,12020,12040,12040,12050,12050,12301,12154,10384,10301,10160,10170,12245,12252,12180,12184,12061,12152,12185,3043,8076,4579,12069,,,,,,,,,,,,,,,,,,,,
Amun Fighter,12103,12381,12104,12106,12133,12020,12015,12211,12252,12253,12254,12255,12256,10014,11322,12082,12081,12246,12252,12181,12381,12151,12185,4043,8121,12069,3579,12062,12062,11342,,,,,,,,,,,,,,,,,,,,
Saboten,10033,10014,12133,12135,12252,12253,12254,12255,12256,12257,12258,12259,12260,10383,12006,12061,12062,11381,12040,12255,12252,12381,12254,12255,12256,12257,12258,5043,8152,2679,,,,,,,,,,,,,,,,,,,,
Saboten Zyo,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10160,10170,10384,10306,12084,12151,11332,12116,12059,12049,12040,12104,12381,12253,12254,12256,12067,2073,8184,5379,,,,,,,,,,,,,,,,,,,,
Taipan,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10014,10033,12065,10383,10307,12084,12157,12311,12117,12058,12050,12039,12381,12104,12255,12253,12255,3073,8251,4379,,,,,,,,,,,,,,,,,,,,
Horridus,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10160,10170,12066,10384,10308,12084,12152,12321,12118,12059,12049,12040,12381,12104,12253,12255,12254,4073,8222,3379,,,,,,,,,,,,,,,,,,,,
red snake,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10014,10033,12064,10383,10309,12084,12156,12341,12119,12058,12050,12039,12381,12104,12254,12253,12257,5073,8279,2479,,,,,,,,,,,,,,,,,,,,
Cerpentes scavenger,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10160,10170,12065,10384,10310,12084,12151,12351,12120,12059,12049,12040,12104,12104,,12256,12255,2103,8322,5679,,,,,,,,,,,,,,,,,,,,
black snake small,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10014,10033,12065,10383,10311,12084,12157,,12115,12058,12050,12039,12104,12104,12257,12259,12254,3103,8350,4679,,,,,,,,,,,,,,,,,,,,
Taipan Scavenger,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10160,10170,10384,10312,12084,12152,12371,12112,12059,12049,12040,12104,12104,12066,12253,12258,12256,4103,8421,3679,,,,,,,,,,,,,,,,,,,,
Imparis Warrior,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,10014,10033,10383,10301,12084,12156,12321,12113,12058,12050,12039,12104,12381,12254,12256,12067,12255,5103,8449,2779,,,,,,,,,,,,,,,,,,,,
Imparis Soldier,12252,12253,12254,12255,12256,12257,12258,12259,12260,12015,12381,10170,12064,10384,10312,12084,12151,12341,12114,12059,12049,12040,12104,12104,12255,12253,12257,2133,8052,5479,,,,,,,,,,,,,,,,,,,,
Imparis Queen,12022,12032,12106,12120,10170,12176,12179,12364,12381,12380,12284,12366,12368,12370,12067,12068,12069,12086,12087,12088,3044,3074,4104,4134,8057,8127,8186,8329,12096,12381,,,,,,,,,,,,,,,,,,,,
Lord Horridus,12023,12033,12106,12120,10160,12177,12180,12365,12381,12380,12284,12367,12369,12371,12067,12068,12069,12086,12087,12088,3104,3134,4044,4074,8079,8153,8260,8451,12096,12381,,,,,,,,,,,,,,,,,,,,
Aleksandros,12089,2044,2074,2104,2134,5044,5074,5104,8001296,12380,12284,11373,8026,8227,8424,8357,8286,12087,12088,12089,12068,12069,5134,11353,10180,10170,10160,10059,10014,12381,,,,,,,,,,,,,,,,,,,,
Super Aleksandros,8530,8559,8576,8601,6015,6015,8692,8724,12289,12290,8751,8790,8813,8850,8870,2483,2583,2683,2783,3383,3483,8001300,3683,4383,4483,4583,4683,5383,8001301,5583,,,,,,,,,,,,,,,,,,,,
Lord Horridus UNIQUE,12023,12033,12106,12120,10160,12177,12180,12365,12381,12380,12290,12367,12369,12371,12067,12068,12069,12086,12087,12088,3582,3682,4382,4482,8079,8153,8260,8451,7389,8001312,,,,,,,,,,,,,,,,,,,,
Imparis Queen UNIQUE,12022,12032,12106,12120,10170,12176,12179,12364,12381,12380,12289,12366,12368,12370,12067,12068,12069,12086,12087,12088,3382,3482,4582,4682,8057,8127,8186,8329,12096,7401,,,,,,,,,,,,,,,,,,,,
Imparis Queen 0-2,12022,12032,12106,7189,10170,12176,12179,12364,12381,12380,12380,12366,12368,12370,12067,12068,12069,12086,12087,12088,3382,3482,4582,4682,8057,8127,8186,8329,12096,7388,,,,,,,,,,,,,,,,,,,,
Imparis Queen 10-12,12022,12032,12106,7182,10170,12176,12179,12364,12381,12380,12380,12366,12368,12370,12067,12068,12069,12086,12087,12088,3382,3482,4582,4682,8057,8127,8186,8329,12096,7392,,,,,,,,,,,,,,,,,,,,
Imparis Queen 18-20,12022,12032,12106,7181,10170,12176,12179,12364,12381,12380,12380,12366,12368,12370,12067,12068,12069,12086,12087,12088,3382,3482,4582,4682,8057,8127,8186,8329,12096,7396,,,,,,,,,,,,,,,,,,,,
Lord Horridus 4-6,12023,12033,12106,7178,10160,12177,12180,12365,12381,12380,12380,12367,12369,12371,12067,12068,12069,12086,12087,12088,3582,3682,4382,4482,8079,8153,8260,8451,12096,7352,,,,,,,,,,,,,,,,,,,,
Lord Horridus 14-16,12023,12033,12106,7189,10160,12177,12180,12365,12381,12380,12380,12367,12369,12371,12067,12068,12069,12086,12087,12088,3582,3682,4382,4482,8079,8153,8260,8451,12096,7356,,,,,,,,,,,,,,,,,,,,
Lord Horridus 20-22,12023,12033,12106,7182,10160,12177,12180,12365,12381,12380,12380,12367,12369,12371,12067,12068,12069,12086,12087,12088,3582,3682,4382,4482,8079,8153,8260,8451,12096,7360,,,,,,,,,,,,,,,,,,,,
Saboten 2-4,10033,10014,12133,12135,12252,12253,12254,12255,12256,12257,12258,12259,12260,10383,12006,12061,12062,11381,12040,2679,12252,12253,12254,12255,12256,12257,12258,5043,8152,7343,,,,,,,,,,,,,,,,,,,,
Saboten 12-14,10033,10014,12133,12135,12252,12253,12254,12255,12256,12257,12258,12259,12260,10383,12006,12061,12062,11381,12040,2679,12252,12253,12254,12255,12256,12257,12258,5043,8152,7407,,,,,,,,,,,,,,,,,,,,
Saboten 21-23,10033,10014,12133,12135,12252,12253,12254,12255,12256,12257,12258,12259,12260,10383,12006,12061,12062,11381,12040,2679,12252,12253,12254,12255,12256,12257,12258,5043,8152,7375,,,,,,,,,,,,,,,,,,,,
Aleksandros UNIQUE,12289,2482,2582,2682,2782,5382,5482,5582,12381,12380,12284,5682,8026,8227,8424,8357,8286,12087,12088,12089,12068,12069,11373,11353,10180,12290,12381,12284,12289,12290,,,,,,,,,,,,,,,,,,,,
Dead Head,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12289,12289,12289,12380,12380,12380,12380,12380,12380,12380,,,,,,,,,,,,,,,,,,,,
Dead Body,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12380,12290,12290,12290,12380,12380,12380,12380,12380,12380,12380,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 70 Soldier),2034,2035,2424,2431,3034,3035,3324,3331,4034,4035,4324,4331,5034,5035,5324,5331,8010,8011,8039,8040,8108,8109,8137,8138,8169,8170,12084,12085,12086,11311,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 70 Muse),2064,2065,2524,2531,3064,3065,3424,3431,4064,4065,4431,4424,5064,5065,5424,5431,8308,8309,8339,8340,8308,8309,8339,8340,12082,12083,12084,12085,12086,11331,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 70 Hawker),2094,2095,2624,2631,3094,3095,3524,3531,4094,4095,4531,4524,5095,5094,5524,5531,8408,8409,8436,8437,8209,8210,8064,8065,12082,12083,12084,12085,12086,11301,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 70 Dealer),2124,2125,2724,2731,3124,3125,3624,3631,4124,4125,4624,4631,5125,5124,5624,5631,8238,8239,8266,8267,8238,8239,8266,8267,12082,12083,12084,12085,12086,11321,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 70 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 100 Soldier),2036,2037,2438,2445,3036,3037,3338,3345,4036,4037,4338,4345,5036,5037,5338,5345,8014,8015,8043,8044,8112,8113,8141,8142,8173,8174,12084,12085,12086,11312,,,,,,,,,,,,,,,,,,,,
