string,string,string,string,"0: Outdoor, 1: Underground, 2: Game Arena",string,string,list_sky,string,,,string,string,,,,,,,str_planet,list_stepsound,list_camera,string,string,string,,string,,,,1:cart/m 2:cgs,int,,,int,int,worldmap,string,No terrain,Seasonal Textures,1: Bonfires 2: None,GM Only,Block EQ Changes,Block Fairy,Block Shops,Hide On Map Dlg,Client PvP,Armory Hide,Block Bag,Skip Checksum,Block Pets,Block Skills,Leave Party,Force Weather,string,Hide Minimap,Upgrading,Team Chat,RespawnTimer,Auto PK Mode,Game Arena,Tooltip String,MaxAltitude,Wmap Zulie
Akram Tower [Expert Mode],3Ddata\Maps\GameArenas\Tower_Easy\TowerEasy.zon,start,restore,2,Sound\BGM\AkramTower.ogg,Sound\BGM\AkramTower.ogg,0,3Ddata\Maps\GameArenas\Tower_Easy\Minimap.dds,29,29,3Ddata\TENKU\LIST_DECO_ROOM_BOSS_B.ZSC,3Ddata\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,,1,4,,AT_15_Chk_Map,,,4000,LZON109,,4,4,0,,,,0,25,109,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Survival (Level 100-125),3Ddata\Maps\GameArenas\SurvivalArena\Survival.zon,start,restore,2,Sound\Instances\SurvivalArena_BGM.ogg,Sound\Instances\SurvivalArena_BGM.ogg,0,3DDATA\MAPS\GameArenas\SurvivalArena\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,2,15,4,,SA_JoinZone,,,4000,LZON110,3,4,4,3,,,,0,25,110,,,,2,,,,,2,,,1,1,,,,,,,,1,,,,,,
Survival (Level 126-150),3Ddata\Maps\GameArenas\SurvivalArena\Survival.zon,start,restore,2,Sound\Instances\SurvivalArena_BGM.ogg,Sound\Instances\SurvivalArena_BGM.ogg,0,3DDATA\MAPS\GameArenas\SurvivalArena\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,2,15,4,,SA_JoinZone,,,4000,LZON111,3,4,4,3,,,,0,25,111,,,,2,,,,,2,,,1,1,,,,,,,,1,,,,,,
Survival (Level 151-175),3Ddata\Maps\GameArenas\SurvivalArena\Survival.zon,start,restore,2,Sound\Instances\SurvivalArena_BGM.ogg,Sound\Instances\SurvivalArena_BGM.ogg,0,3DDATA\MAPS\GameArenas\SurvivalArena\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,2,15,4,,SA_JoinZone,,,4000,LZON112,3,4,4,3,,,,0,25,112,,,,2,,,,,2,,,1,1,,,,,,,,1,,,,,,
Survival (Level 176-200),3Ddata\Maps\GameArenas\SurvivalArena\Survival.zon,start,restore,2,Sound\Instances\SurvivalArena_BGM.ogg,Sound\Instances\SurvivalArena_BGM.ogg,0,3DDATA\MAPS\GameArenas\SurvivalArena\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,2,15,4,,SA_JoinZone,,,4000,LZON113,3,4,4,3,,,,0,25,113,,,,2,,,,,2,,,1,1,,,,,,,,1,,,,,,
Survival (Level 201-228),3Ddata\Maps\GameArenas\SurvivalArena\Survival.zon,start,restore,2,Sound\Instances\SurvivalArena_BGM.ogg,Sound\Instances\SurvivalArena_BGM.ogg,0,3DDATA\MAPS\GameArenas\SurvivalArena\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,11,112,128,2,15,4,,SA_JoinZone,,,4000,LZON114,3,4,4,3,,,,0,25,114,,,,2,,,,,2,,,1,1,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Crystal Defenders,3Ddata\MAPS\GameArenas\CrystalDefenders\map.zon,start,restore,2,Sound\Instances\CrystalDefenders.ogg,Sound\Instances\CrystalDefenders.ogg,0,3Ddata\MAPS\GameArenas\CrystalDefenders\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,2,16,4,,CD_JoinZone,,,4000,LZON116,,4,4,3,,,,0,25,116,,,,1,,,,,2,,,1,1,,,,,,,,1,,,,,,
Crystal Defenders,3Ddata\MAPS\GameArenas\CrystalDefenders\map.zon,start,restore,2,Sound\Instances\CrystalDefenders.ogg,Sound\Instances\CrystalDefenders.ogg,0,3Ddata\MAPS\GameArenas\CrystalDefenders\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,2,16,4,,CD_JoinZone,,,4000,LZON117,,4,4,3,,,,0,25,117,,,,1,,,,,2,,,1,1,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptahs Rift of Lost Souls,3Ddata\MAPS\ORO\MemField\228field.zon,start,restore,0,Sound\BGM\Oro_Rift.ogg,Sound\BGM\Oro_Rift.ogg,10,3Ddata\MAPS\ORO\Memfield\Memfield.dds,30,30,3Ddata\ORO\LIST_DECO_ORO.ZSC,3Ddata\ORO\LIST_CNST_ORO.ZSC,160,0,11,112,128,,4,4,,,,,4000,LZON119,,4,4,0,,,,0,25,119,,,,,,,,,,,,,,,,,,,,,,,,,2302,,
Amentets Sacrifices,3Ddata\MAPS\ORO\OroPortalMap\OroBoss.zon,start,restore,0,Sound\BGM\Tutankhamun.ogg,Sound\BGM\Tutankhamun.ogg,13,3Ddata\MAPS\ORO\OroPortalMap\OroBoss.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,720,0,0,0,0,,4,4,,MAP120-Verm1,,,4000,LZON120,,4,4,0,,,,0,25,120,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,
Amentets Sacrifices,3Ddata\MAPS\ORO\OroPortalMap_2\OroBoss.zon,start,restore,0,Sound\BGM\Tutankhamun.ogg,Sound\BGM\Tutankhamun.ogg,13,3Ddata\MAPS\ORO\OroPortalMap_2\OroBoss.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,720,0,0,0,0,,4,4,,MAP121-Verm1,,,4000,LZON120,,4,4,0,,,,0,25,121,,,,1,,,,1,2,,1,,,,,,,,,,,,,,,,
Amentets Sacrifices,3Ddata\MAPS\ORO\OroPortalMap_3\OroBoss.zon,start,restore,0,Sound\BGM\Tutankhamun.ogg,Sound\BGM\Tutankhamun.ogg,13,3Ddata\MAPS\ORO\OroPortalMap_3\OroBoss.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,720,0,0,0,0,,4,4,,MAP122-Verm1,,,4000,LZON120,,4,4,0,,,,0,25,122,,,,1,,,,1,2,,1,,,,,,,,,,,,,,,,
Amentets Sacrifices,3Ddata\MAPS\ORO\OroPortalMap_4\OroBoss.zon,start,restore,0,Sound\BGM\Tutankhamun.ogg,Sound\BGM\Tutankhamun.ogg,13,3Ddata\MAPS\ORO\OroPortalMap_4\OroBoss.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,720,0,0,0,0,,4,4,,MAP123-Verm1,,,4000,LZON120,,4,4,0,,,,0,25,123,,,,1,,,,1,2,,1,,,,,,,,,,,,,,,,
Pyramids of Giza,3Ddata\MAPS\ORO\Giza\Giza.zon,start,restore,0,Sound\BGM\Tutankhamun.ogg,Sound\BGM\Tutankhamun.ogg,19,3Ddata\MAPS\ORO\Giza\minimap.dds,30,30,3DDATA\ORO\LIST_DECO_ORO.ZSC,3DDATA\ORO\LIST_CNST_ORO.ZSC,160,0,11,112,128,,4,6,6,,,,4000,LZON124,6,4,4,0,,,,0,25,124,,,,,,,,,,,,,,,,,1,,,,,,,,2303,,
Crystal Mine,3Ddata\MAPS\ORO\CrystalMine\CrystalMine.zon,start,restore,0,Sound\BGM\RamessesMines.ogg,Sound\BGM\RamessesMines.ogg,12,3Ddata\MAPS\ORO\CrystalMine\CrystalMine.dds,31,30,3Ddata\ORO\LIST_DECO_ORO_RAMESSES_MINES.ZSC,3Ddata\ORO\LIST_CNST_RAMESSES0101.ZSC,160,0,11,112,128,,4,4,,,,,4000,LZON125,,4,4,0,,,,0,25,125,,,,,,,,,,,,,,,,,,,,,,,,,2347,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\GameArenas\CrusaderBattleground\Arua01.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\GameArenas\CrusaderBattleground\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CB_Map_Team1,,CB_Killed_Team1,4000,LZON127,,4,4,0,,,,0,25,7,,,,2,,,,,1,,,,1,,,,,,,,1,,,,,,
Fortress,3DDATA\MAPS\GameArenas\Fortress\FORTRESS.zon,start,restore,0,Sound\BGM\Dungeon_junon.ogg,Sound\BGM\Dungeon_junon.ogg,0,3DDATA\MAPS\GameArenas\FORTRESS\minimap.dds,30,30,3Ddata\JUNON\LIST_DECO_Fortress.zsc,3Ddata\JUNON\LIST_CNST_Fortress.zsc,720,0,0,720,720,,1,4,,,,,4000,LZON128,,4,4,1,,,,0,25,128,,,,2,1,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Land of Krayah,3Ddata\MAPS\KAKIA\SkyLandOfKrayah\SLOK.Zon,start,restore,0,Sound\BGM\K_Sky_Temple.ogg,Sound\BGM\K_Sky_Temple.ogg,20,3Ddata\MAPS\KAKIA\SkyLandOfKrayah\Minimap.dds,30,30,3DDATA\KAKIA\LIST_DECO_KAKIA.ZSC,3DDATA\KAKIA\LIST_CNST_KAKIA.ZSC,160,0,11,112,128,,5,3,,,,,4000,LZON130,,4,4,1,,,,0,25,130,,1,,,,,,,,,1,,,,,,,,,,,,,,2361,,
Land of Sins,3Ddata\MAPS\KAKIA\LandOfSins\LOS.zon,start,restore,0,Sound\BGM\K_Field03.ogg,Sound\BGM\K_Field03.ogg,21,3Ddata\MAPS\KAKIA\LandOfSins\LOS.dds,30,30,3DDATA\KAKIA\LIST_DECO_KAKIA_TERRA.ZSC,3DDATA\KAKIA\LIST_CNST_KAKIA_TERRA.ZSC,160,0,11,112,128,,5,3,,,,,4000,LZON131,5,4,4,0,,,,3,25,131,Karkia_player_died,,,,,,,,,,1,,,,,,1,,,,,,,,2362,,
Forsaken Lake,3Ddata\MAPS\KAKIA\ForsakenLake\FL.ZON,start,restore,0,Sound\BGM\K_Field02.ogg,Sound\BGM\K_Field02.ogg,21,3Ddata\MAPS\KAKIA\ForsakenLake\FL.dds,30,30,3DDATA\KAKIA\LIST_DECO_KAKIA_TERRA.ZSC,3DDATA\KAKIA\LIST_CNST_KAKIA_TERRA.ZSC,160,0,11,112,128,,5,3,,,,,4000,LZON132,5,4,4,0,,,,3,25,132,,,,,,,,,,,1,,,,,,1,,,,,,,,2363,,
Cave of Deception,3DDATA\Maps\KAKIA\CaveOfDeception\COD.zon,start,restore,1,Sound\BGM\K_Cave01.ogg,Sound\BGM\K_Cave01.ogg,36,3Ddata\MAPS\KAKIA\CaveOfDeception\minimap.DDS,31,31,3DDATA\KAKIA\LIST_DECO_KAKIA_TERRA_C1.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,720,0,0,0,0,1,5,3,,MAP133-Enter,,,4000,LZON133,,4,4,1,,,,3,25,133,,,,,,,,,,,1,,,,,,,133-RespawnOut,,,,60,,,2364,,
Obliteration Field,3Ddata\MAPS\KAKIA\ObliterationField\OF.zon,start,restore,0,Sound\BGM\KField.ogg,Sound\BGM\KField.ogg,21,3Ddata\MAPS\KAKIA\ObliterationField\minimap.dds,29,29,3DDATA\KAKIA\LIST_DECO_KAKIA_TERRA.ZSC,3DDATA\KAKIA\LIST_CNST_KAKIA_TERRA.ZSC,160,0,11,112,128,,5,3,,,,,4000,LZON134,5,4,4,0,,,,3,25,134,,,,,,,,,,,1,,,,,,1,,,,,,,,2365,,
City of Junon Login,3DDATA\Maps\Login\Junon\JPT01.zon,start,restore,0,Sound\BGM\Prologue.ogg,Sound\BGM\Prologue.ogg,26,3DDATA\Maps\Login\Junon\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_LOGIN.ZSC,3DDATA\\JUNON\\LIST_CNST_LOGIN.ZSC,160,0,11,112,128,,1,4,,PvP1301-340,,,4000,LZON135,,4,4,0,,,,0,25,2,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,
Battle Royale,3Ddata\MAPS\GameArenas\BattleRoyale\Map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\BattleRoyale\Minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_Royale.ZSC,3DDATA\JUNON\LIST_CNST_Royale.ZSC,230,0,11,112,128,1,1,4,,BR_JoinZone,,,4000,LZON136,,4,4,3,,,,0,25,144,,,,,,,1,,2,,,1,1,,,,1,,,,1,,,,,,
Capture the Fairy,3Ddata\MAPS\GameArenas\CaptureTheFairy\LGDP01.zon,start,restore,2,Sound\Instances\CTF.ogg,Sound\Instances\CTF.ogg,5,3Ddata\MAPS\GameArenas\CaptureTheFairy\minimap.DDS,30,30,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,30,270,300,1,17,3,,CTF_JoinZone,,,6000,LZON137,1,,,3,,,,0,25,52,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Junons Union War,3Ddata\MAPS\GameArenas\JunonUnionWar\JPVP05.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,0,3Ddata\MAPS\GameArenas\JunonUnionWar\minimap.DDS,30,30,3DDATA\\JUNON\\LIST_DECO_JPT.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,300,0,30,270,300,1,1,4,,JUW_JoinZone,,,6000,LZON138,,,,3,,,,0,25,2,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Lunar Union War,3Ddata\Maps\GameArenas\LunarUnionWar\Map.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,4,3Ddata\Maps\GameArenas\LunarUnionWar\minimap.DDS,30,30,3DDATA\\Lunar\\LIST_DECO_UM.ZSC,3DDATA\\Lunar\\LIST_CNST_UM.ZSC,300,0,20,190,230,2,2,4,,LUW_JoinZone,,,8000,LZON139,,8,4,3,,,,0,25,139,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\GameArenas\CrusaderBattleground\Arua01.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\GameArenas\CrusaderBattleground\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CB_2v2_Map_Team1,,CB_2v2_Killed_Team1,4000,LZON127,,4,4,0,,,,0,25,7,,,,2,,,,,1,,,,1,,,,,,,,1,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\GameArenas\CrusaderBattleground\Arua01.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\GameArenas\CrusaderBattleground\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CB_3v3_Map_Team1,,CB_3v3_Killed_Team1,4000,LZON127,,4,4,0,,,,0,25,7,,,,2,,,,,1,,,,1,,,,,,,,1,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\GameArenas\CrusaderBattleground\Arua01.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\GameArenas\CrusaderBattleground\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CB_4v4_Map_Team1,,CB_4v4_Killed_Team1,4000,LZON127,,4,4,0,,,,0,25,7,,,,2,,,,,1,,,,1,,,,,,,,1,,,,,,
Crusader Battlegrounds,3Ddata\MAPS\GameArenas\CrusaderBattleground\Arua01.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\Maps\GameArenas\CrusaderBattleground\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CB_5v5_Map_Team1,,CB_5v5_Killed_Team1,4000,LZON127,,4,4,0,,,,0,25,7,,,,2,,,,,1,,,,1,,,,,,,,1,,,,,,
Lunar Union War 2,3Ddata\Maps\GameArenas\LunarUnionWar2\Map.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,4,3Ddata\Maps\GameArenas\LunarUnionWar2\minimap.DDS,30,30,3DDATA\\Lunar\\LIST_DECO_UM.ZSC,3DDATA\\Lunar\\LIST_CNST_UM.ZSC,300,0,20,190,230,2,2,4,,LUW_JoinZone,,,8000,LZON139,,8,4,3,,,,0,25,139,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,
Birth Island,3DDATA\Maps\Junon\JG07_2\JG07_2.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,0,3Ddata\Maps\Junon\JG07_2\minimap.DDS,31,31,3DDATA\\JUNON\\LIST_DECO_JG.ZSC,3DDATA\\JUNON\\LIST_CNST_JG.ZSC,160,0,16,133,157,,1,2,,MAP145-QSD,,,4000,LZON020,,4,4,3,,,,0,25,20,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
Christmas Prop Hunt,3Ddata\MAPS\GameArenas\SnowPropHunt\Santa.zon,start,restore,2,Sound\BGM\Event02_carol.ogg,Sound\BGM\Event02_carol.ogg,2,3Ddata\MAPS\LUNAR\Santa\minimap.DDS,30,31,3DDATA\LUNAR\LIST_DECO_LP.ZSC,3DDATA\LUNAR\LIST_CNST_LMT.ZSC,720,0,0,720,720,,2,3,,HUNT_JoinZone,,,4000,LZON146,1,4,4,0,,,,0,25,89,,,,,,,,,2,,1,1,1,,,,,,,,1,,,,,,
Capture the Fairy,3Ddata\MAPS\GameArenas\CaptureTheFairy\LGDP01.zon,start,restore,2,Sound\Instances\CTF.ogg,Sound\Instances\CTF.ogg,5,3Ddata\MAPS\GameArenas\CaptureTheFairy\minimap.DDS,30,30,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,30,270,300,1,17,3,,CTF_JoinZone,,,6000,LZON147,1,,,3,,,,0,25,52,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
Crystal Defenders,3Ddata\MAPS\GameArenas\CrystalDefenders\map.zon,start,restore,2,Sound\Instances\CrystalDefenders.ogg,Sound\Instances\CrystalDefenders.ogg,0,3Ddata\MAPS\GameArenas\CrystalDefenders\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,2,16,4,,CD_JoinZone,,,4000,LZON148,,4,4,3,,,,0,25,117,,,,1,,,,,2,,,1,1,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON150,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON151,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON152,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON153,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON154,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON155,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON156,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON157,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON158,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Clan Deathmatch,3Ddata\MAPS\GameArenas\ClanDeathmatch\map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\ClanDeathmatch\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CLANDEATH_JoinZone,,,7000,LZON159,,,,0,,,,0,25,2,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
The Colosseum (Oro),3Ddata\Maps\GameArenas\ClanDuel\map.zon,start,restore,2,,,0,3Ddata\Maps\GameArenas\ClanDuel\minimap.DDS,31,31,3DDATA\ORO\LIST_DECO_NA_ODD.ZSC,3DDATA\ORO\LIST_CNST_NA_ODD.ZSC,360,0,30,300,330,1,4,2,,CLANDUEL_JoinZone,,,5000,LZON160,,,,0,,,,0,25,2,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
The Colosseum (Junon),3Ddata\MAPS\GameArenas\ClanDuelJunon\map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\ClanDuelJunon\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,CLANDUEL_JoinZone,,,7000,LZON161,,,,0,,,,0,25,2,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
Tournament,3Ddata\MAPS\GameArenas\Tournament\map.zon,start,restore,2,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\GameArenas\Tournament\minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TOURN_JoinZone,,,4000,LZON162,,4,4,0,,,,0,25,7,,,,2,,,,1,1,,,,1,,,,,,,,1,,,,,,
Eldeon Union War,3DDATA\MAPS\GameArenas\EldeonUnionWar\EUW.zon,start,restore,2,Sound\BGM\Plain02_eldeon.ogg,Sound\BGM\Plain02_eldeon.ogg,6,3DDATA\MAPS\GameArenas\EldeonUnionWar\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_ECF.ZSC,3DDATA\\ELDEON\\LIST_CNST_ECF.ZSC,200,0,10,80,90,1,3,2,,EUW_JoinZone,,,6000,LZON163,3,4,4,1,,,,1,25,73,,,,1,,,,,2,,,,1,,,,,,,,1,,,,,,
